Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
47PM1023C0022,236220,2023-09-15,4740,Z2AA,Southeast,DB9BBLJW4MR4,2804902,3,0,Open,1
W912JM08C0005,236220,2008-03-18,2100,Y119,Southeast,EN9WS9NL8DL5,24500,0,0,Restricted,1
VA263C0464,236220,2008-09-12,3600,Z141,Midwest,NJFASMLTSRR5,43130,1,675,Restricted,1
VA260C0468,236220,2009-03-11,3600,Y149,West,JGUBT9LLH8K4,520249,1,0,Restricted,1
GS11P17NWC0040,236220,2017-05-24,4740,Z2AA,Southeast,NJMWGNLWRQN1,250644,1,0,Restricted,1
15F06719C0004420,236220,2019-09-30,1549,Y1AA,Southeast,L3PEDEHACZY3,1615405,4,195573,Open,2
70CMSW23C00000026,236220,2023-09-12,7012,Y1NZ,Southeast,VZ7AQ6ULC3B8,107933,0,0,Restricted,1
VA25914C0276,236220,2014-07-28,3600,Y1DZ,West,F7JVEZDEMLM1,86779,1,0,Open,3
VA69D15C0215,236220,2015-05-27,3600,Z1DA,Midwest,ZJE3GTWE6D36,742000,9,456235,Open,6
47PE0219C0032,236220,2019-09-11,4740,Z2AA,Southeast,QW5ZZ5N8PK91,359998,6,142633,Open,3
DJFA4N0422700,236220,2004-09-29,1549,Z199,Southeast,E9DZZ985K5E3,253500,0,0,Open,3
W91B4M09C7033,236220,2009-01-10,2100,Y159,Southeast,LN9PU5M2YZN5,130000,0,0,Open,5
N4008010C2026,236220,2010-05-11,1700,Z199,Southeast,HGUALNKGMME8,3000000,11,2396286,Open,""
W912QR07C0017,236220,2007-04-12,2100,Y211,Southeast,N9VUJEYF2L77,13747000,11,747922,Open,2
47PM0417C0038,236220,2017-10-16,4740,Z2NZ,Southeast,T7NSN7RLK2K7,210864,0,0,Restricted,1
W91B4N11C8161,236220,2011-06-28,2100,Y119,Southeast,NN2NGPDNCK23,31270,2,0,Open,1
GS11P08YEC0137,236220,2008-06-27,4740,Z111,Southeast,UGMKBCYFL8V8,107234,0,0,Restricted,1
36C24221C0113,236220,2021-04-02,3600,Y1DA,Northeast,TGBEVBCFNR95,1319000,7,204615,Open,3
N6274209C6516,236220,2009-04-24,1700,Y199,West,KS1MJKNTGNE9,605098,7,42407,Open,""
W9124E12C0009,236220,2012-08-23,2100,Y1AZ,Southeast,HFCZKKZ1WUU7,157437,4,54649,Restricted,1
47PM0222C0013,236220,2022-09-16,4740,Z2AA,Southeast,HHWNBYZHKMC5,19045,0,0,Restricted,1
INF14PC00283,236220,2014-09-23,1448,Z2NC,Northeast,JEU7YG1HCVD1,5000,1,0,Restricted,1
68HE0219C0006,236220,2019-09-30,6800,Z2AA,Northeast,V5MSQAJAH5P5,139642,3,52712,Open,1
FA487722C0019,236220,2022-08-22,5700,Z2AA,West,DKMDFZ47MMF7,11567,0,0,Open,""
W912DQ15C4006,236220,2015-05-28,2100,Y1JZ,Midwest,C277DHXWNTU9,13686000,16,693757,Open,22
GY000200212DGS06P02GYD0006,236220,2002-12-15,4740,Z111,Midwest,QF5DP7DLDYJ7,1,0,0,Open,6
36C26124C0025,236220,2023-10-23,3600,Z2DA,West,HSPNN66K4HC7,1608700,1,0,Open,1
VA26312C0148,236220,2012-06-26,3600,Y1DA,Midwest,U26VNZTQ5JF3,385700,2,0,Open,2
W91GXE10C0025,236220,2010-08-05,2100,Y112,Southeast,LN9PU5M2YZN5,875000,1,0,Open,4
FA304715C0076,236220,2015-09-30,5700,Z2PZ,Southwest,D8VNVKCT1M16,360735,1,0,Open,""
N0042124C0059,236220,2024-07-03,1700,Z2AA,Southeast,VUR8QKPP8NY3,394992,0,0,Open,""
V649C03918A,236220,2005-09-28,3600,Z141,Southwest,HKBVLJ216P75,398714,0,0,Restricted,1
VA263C1343,236220,2011-09-20,3600,Z141,Midwest,M2XWY7ZHLYB4,388155,5,61169,Open,3
W912HN09C0054,236220,2009-08-31,2100,Y199,Southeast,UGPNR19PJF31,2917500,7,202891,Open,5
W9124720C0032,236220,2020-09-09,2100,Y1JZ,Southeast,D8GGP2SJKJ85,103000,3,54000,Open,1
GS01P16NFC7014,236220,2016-02-22,4740,Z2AA,Northeast,KX98RDBC5KM6,9282,0,0,Open,2
75H70118C00008,236220,2018-05-24,7527,Y1DA,West,CS5YUDUQ5YD9,300289,3,38893,Restricted,1
W912DR08C0065,236220,2008-09-30,2100,Y119,Southeast,R6CPWWDD4AM1,4848000,3,129067,Open,7
697DCK18C00043,236220,2017-12-19,6920,Z1BC,West,HM1PS6FAK6U7,100232,3,19412,Open,2
F0260103CC009,236220,2003-09-30,5700,Z199,Southwest,SJLFSX6YPEE7,650000,0,0,Open,""
V247C0401,236220,2005-05-27,3600,Z149,Southeast,ZE5NDTFREKJ3,109380,2,12518,Open,2
7MN1200309D507MN130800,236220,2003-09-15,12H2,Z199,Southwest,KNQ3ULE6KKE1,74790,0,0,Open,6
W91GF509C8179,236220,2009-09-18,2100,Y199,Southeast,LN9PU5M2YZN5,494500,3,0,Open,1
INPC1524063465,236220,2006-09-06,1443,Z119,West,UMHZGGXAK9L1,90472,0,0,Restricted,1
GS05P11FBC0029,236220,2011-04-06,4740,Z111,Midwest,MS3FR8GNZH43,2460302,39,4499079,Restricted,1
W912CN04C0075,236220,2004-08-05,2100,Z111,West,CMJCDMTNUHM8,283429,0,0,Restricted,1
GS04P08EXC0047,236220,2008-01-30,4740,Z111,Southeast,G1N8QZDNYBU9,49251,3,5868,Restricted,1
VA26217C0053,236220,2017-02-23,3600,Z2NB,West,HHRZNKJMJYF7,2950000,2,909330,Open,10
W50S8V23C0006,236220,2023-09-27,2100,Z2BZ,Southeast,JFXVRRLQR153,514365,2,122912,Open,4
W91LV209C0061,236220,2009-09-26,2100,Z111,West,FDP6NLK1FBB5,146470,0,0,Open,8
FA488711C0003,236220,2010-11-05,5700,Z199,Southwest,Q1ZSNR6NB6L3,388302,1,0,Open,""
75H71322C00003,236220,2022-09-12,7527,Y1JZ,West,KMA9EB4NSB87,20215683,2,20150027,Restricted,1
N4008517C4100,236220,2017-09-27,1700,Z1AA,Northeast,YSSNR93AGZH6,624149,3,38491,Open,""
W912DQ24C4016,236220,2024-07-26,2100,Z2EZ,West,JLUNXC1LM1N7,1667700,0,0,Restricted,1
47PK1318C0002,236220,2018-08-24,4740,Z2AA,West,NFGMJQ662UL6,3570138,5,74648,Restricted,1
33330221CF0010048,236220,2020-12-09,3300,Z2JA,Southeast,UK98FPGUAKM1,450461,0,0,Restricted,1
DTCG8603C633115,236220,2004-09-30,7008,Z162,West,CXTYNAZXXCC3,0,1,0,Open,6
GS07P11URC0021,236220,2011-07-07,4740,Y111,Southwest,JB8DZ49ZDNN7,128000,2,6754,Restricted,1
GS08P12JFC0110,236220,2012-08-15,4740,Z1AA,West,EKCKMJ8L7D45,1034010,3,216542,Restricted,1
GS03P16QNC7008,236220,2016-05-09,4740,Z2AA,Northeast,G6P8SFDQE7K9,11129,1,0,Open,1
W9124722C0043,236220,2022-07-27,2100,Z2FC,Southeast,LAA3W2UCHL23,844904,2,0,Restricted,1
VA249C0798,236220,2009-07-22,3600,Y141,Southeast,H61LKCMRF271,97373,0,0,Restricted,1
VA528C0731,236220,2010-06-07,3600,Z141,Northeast,FLJBXP8TEX77,136062,0,0,Open,4
VA244C0424,236220,2008-08-18,3600,Z245,Southeast,L389HZJ85LD5,10207,0,0,Restricted,1
W91B4N11C8054,236220,2011-02-27,2100,Y179,Southeast,LN9PU5M2YZN5,0,3,488344,Open,1
W9123619C0048,236220,2019-09-28,2100,Z2AZ,Southeast,N55SKGZJKEA1,224142,6,11001,Open,1
47PM0420C0001,236220,2019-11-07,4740,Y1AA,Southeast,T7NSN7RLK2K7,8575,0,0,Open,2
N6945007C3313,236220,2007-05-07,1700,Y199,Southeast,RC8URQ478K43,16577967,2,0,Open,""
W5J9JE11C0072,236220,2011-04-19,2100,Y111,Southeast,NN2NGPDNCK23,5531987,6,318883,Open,55
36C24221C0091,236220,2021-04-13,3600,Y1DA,Northeast,SJE6SW6H3GC8,512938,1,0,Open,3
FA468622C0007,236220,2022-09-19,5700,Z2JZ,West,KKTLX15AEZX2,394349,0,0,Open,""
VA25017C0081,236220,2017-04-05,3600,Z1DZ,Southeast,PF8NBFZRMRQ2,562500,2,43100,Open,3
47PG0219C0010,236220,2019-09-26,4740,Z2AA,Midwest,XDNKT3LJCKL7,242837,4,6368,Restricted,1
697DCK18C00262,236220,2018-08-13,6920,Y1AA,Midwest,M5QNHJABQ6M7,299000,3,78929,Open,1
GS11P07YTC0426,236220,2007-08-08,4740,Z111,Southeast,N5S2UQEWU8J9,4756,0,0,Restricted,1
GS08P14JBP0081,236220,2014-08-26,4740,Z2AA,West,E2DUL8MUTJV4,9564,1,0,Open,1
VA25517C0187,236220,2017-07-25,3600,Z2DA,Midwest,ZHRKJX5UGJY7,379576,1,0,Open,3
GS08P12JFC0130,236220,2012-09-26,4740,Z1AA,West,ZMNLWKXHP1H5,272999,1,0,Restricted,1
W50S7Y20C6002,236220,2020-08-13,2100,Z2JZ,Midwest,VNKJEMRCA424,999964,0,0,Restricted,1
VA26316C0092,236220,2016-06-28,3600,Y1DZ,Midwest,H8KMD811NZE3,373016,1,1284,Open,1
W91B4N18C5004,236220,2018-06-16,2100,5680,Southeast,NN2NGPDNCK23,298826,0,0,Open,4
DOCWC133F08CN0193,236220,2008-09-16,1330,Z111,Southwest,QT87N8GQK8N7,299550,4,435668,Restricted,1
V246C00179,236220,2004-07-14,3600,Z141,Southeast,GQPCDCKP6JA1,522050,3,12273,Open,1
W9115109C0067,236220,2009-09-15,2100,Y199,Southwest,J695EGNCJXB5,582119,2,0,Open,8
GS11P09MAM0214,236220,2009-06-30,4740,Y111,Southeast,CVZLC3PKNDN3,6549,0,0,Restricted,1
