Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
GS11P14MAP0340,236220,2014-10-16,4740,Z2AA,Southeast,RWDWFG6WGRK9,644325,1,28426,Restricted,1
IND0407CT66810,236220,2006-12-21,1406,Y199,West,U4K9M66MUHR9,68450,0,0,Restricted,1
W912LD06C0036,236220,2006-09-25,2100,Y111,Northeast,EATDZJL6JFJ5,12573650,15,556384,Open,5
GS11P06ZGC0339,236220,2006-10-17,4740,J039,Southeast,QKCFMFL4MKT6,11943,1,1504,Restricted,1
HHSD200200618928C,236220,2006-08-30,7523,Y111,Midwest,TTHNY8N2PQR3,192500,1,38349,Open,1
VA25616C0188,236220,2016-09-19,3600,Z1DZ,Southeast,KV1NW9F8M7W6,50375,0,0,Open,1
GS11P16MKC7121,236220,2016-02-26,4740,Z2AA,Southeast,M1G5TARMJJT4,8097000,11,494980,Open,2
VA69DC0517,236220,2008-06-05,3600,Z141,Midwest,H8KMD811NZE3,5494,0,0,Restricted,1
W919QA10C0051,236220,2010-08-28,2100,Y199,Southeast,LN9PU5M2YZN5,28790,2,28790,Open,1
GS04P06EXC0050,236220,2006-02-27,4740,Z111,Southeast,MMJFMSLBN668,181643,3,4198,Restricted,1
AG4431C100020,236220,2010-09-22,12H2,Z119,Southeast,N95GDPDSQQ25,29300,1,0,Open,8
W5K9FH11C0238,236220,2011-09-28,2100,5410,Southeast,LN9PU5M2YZN5,1617536,1,0,Open,1
6923G220C000007,236220,2020-07-31,6938,H938,Northeast,JSAELFPYPZV1,13850,0,0,Open,2
W912DS22C0002,236220,2021-11-04,2100,Y1PZ,Northeast,M21NBLGE6EM5,4620000,4,136923,Restricted,1
GS11P17NWC0047,236220,2017-06-21,4740,Z1AA,Midwest,XEQ3L57D2J24,13280,0,0,Open,1
VA25912C0310,236220,2012-09-26,3600,Y1QA,West,TRKLML6DKAH8,31689,1,5773,Open,3
W912DY16C0034,236220,2016-09-30,2100,Z2DA,West,SHW3J24KKXD1,3275253,2,155613,Restricted,1
00678200309DV678C7908A,236220,2003-09-15,3600,Z141,Southwest,G458HU6P7G49,45890,0,0,Open,1
W912PL09C0014,236220,2009-06-11,2100,Y124,West,LBPZKQ5ENZJ8,9036790,12,481013,Open,7
W91B4K09C5077,236220,2009-04-19,2100,Y199,Southeast,LN9PU5M2YZN5,111790,2,0,Open,2
GS01P10BZC0004,236220,2010-06-29,4740,Z111,Northeast,EATDZJL6JFJ5,30757000,48,6113765,Open,5
W912JM10C0032,236220,2010-09-25,2100,Z119,Southeast,DXC1L3BE8KB6,12342,1,0,Restricted,1
