Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
47PD1218C0015,4740,Empty,Empty,Empty
140P6020C0003,1443,Empty,Empty,Empty
W9128F19C0003,2100,Empty,Empty,Empty
GS11P12MAC0180,4740,Empty,Empty,Empty
HSCGBA05CBA030,7008,Empty,Empty,Empty
VA244C0750,3600,Empty,Empty,Empty
GS07P10UKP0139,4740,Empty,Empty,Empty
GS04P17EXC0034,4740,Empty,Empty,Empty
GS06P17TDC0009,4740,Empty,Empty,Empty
V259C0057,3600,Empty,Empty,Empty
63000200306DC6300030047,1443,Empty,Empty,Empty
447U200309D50447U3180,12C2,Empty,Empty,Empty
W912QR12C0085,2100,Empty,Empty,Empty
AG32SDC150043,12H2,Empty,Empty,Empty
W9115117C0083,2100,Empty,Empty,Empty
VA25915C0306,3600,Empty,Empty,Empty
GS08P12JFC0101,4740,Empty,Empty,Empty
N4008509C7006,1700,Empty,Empty,Empty
FA486113CA019,5700,Empty,Empty,Empty
GS11P15YMC0134,4740,Empty,Empty,Empty
GS09P16WNC7009,4740,Empty,Empty,Empty
FA465915CC007,5700,Empty,Empty,Empty
DOLJ051A20215,1630,Empty,Empty,Empty
W912NR14C0005,2100,Empty,Empty,Empty
FA813720C0065,5700,Empty,Empty,Empty
VA24916C0196,3600,Empty,Empty,Empty
GS11P15YTC7018,4740,Empty,Empty,Empty
GS05P11SLC0087,4740,Empty,Empty,Empty
GS09P09KLC0010,4740,Empty,Empty,Empty
W56HZV09CL542,2100,Empty,Empty,Empty
W91GEU09C0004,2100,Empty,Empty,Empty
VA257C0576,3600,Empty,Empty,Empty
N6945017C0908,1700,Empty,Empty,Empty
FA462610C0004,5700,Empty,Empty,Empty
N6247307C1353,1700,Empty,Empty,Empty
N4008508C8102,1700,Empty,Empty,Empty
N4425506C2105,1700,Empty,Empty,Empty
FA700005C0027,5700,Empty,Empty,Empty
N6945012C5347,1700,Empty,Empty,Empty
AE1362304000020,1630,Empty,Empty,Empty
W917BG05C0142,2100,Empty,Empty,Empty
N0042122C0049,1700,Empty,Empty,Empty
70B01C23C00000142,7014,Empty,Empty,Empty
W917BG06C0104,2100,Empty,Empty,Empty
W9126G13C0061,2100,Empty,Empty,Empty
W911SG06C0023,2100,Empty,Empty,Empty
VA241C83911,3600,Empty,Empty,Empty
V629C90219,3600,Empty,Empty,Empty
GS06P04GYC0005,4740,Empty,Empty,Empty
47PE0618C0016,4740,Empty,Empty,Empty
47PM0418C0022,4740,Empty,Empty,Empty
GS03P13DXC0013,4740,Empty,Empty,Empty
GS07P09UYC0003,4740,Empty,Empty,Empty
47PM0423C0002,4740,Empty,Empty,Empty
VA25611C1331,3600,Empty,Empty,Empty
DTFANM08C00076,6920,Empty,Empty,Empty
GS11P17YTC0071,4740,Empty,Empty,Empty
6973GH22C00168,6920,Empty,Empty,Empty
W50S8R23C0001,2100,Empty,Empty,Empty
GS11P07YTC0273,4740,Empty,Empty,Empty
47PK1723C0020,4740,Empty,Empty,Empty
36C26224C0176,3600,Empty,Empty,Empty
140A2324C0034,1450,Empty,Empty,Empty
N6247308C3523,1700,Empty,Empty,Empty
FA667023C0007,5700,Empty,Empty,Empty
FA850116C0021,5700,Empty,Empty,Empty
F1261703C0006,5700,Empty,Empty,Empty
FA663307C0001,5700,Empty,Empty,Empty
N6945023C0028,1700,Empty,Empty,Empty
FA570217C0014,5700,Empty,Empty,Empty
N4008013C2537,1700,Empty,Empty,Empty
W912PQ07C0020,2100,Empty,Empty,Empty
VA24917C0011,3600,Empty,Empty,Empty
GS05P07SVC0009,4740,Empty,Empty,Empty
FA820109C0021,5700,Empty,Empty,Empty
FA485515C0050,5700,Empty,Empty,Empty
FA570712C0024,5700,Empty,Empty,Empty
FA452811C3024,5700,Empty,Empty,Empty
N6945017C8414,1700,Empty,Empty,Empty
W9124720C0008,2100,Empty,Empty,Empty
N6238105C1032,1700,Empty,Empty,Empty
VA263C0237,3600,Empty,Empty,Empty
N4008013C2549,1700,Empty,Empty,Empty
INP16PC00181,1443,Empty,Empty,Empty
DACA6303C0008,2100,Empty,Empty,Empty
GS11P15YTC0242,4740,Empty,Empty,Empty
VA260C0823,3600,Empty,Empty,Empty
36C77624C0035,3600,Empty,Empty,Empty
75H70118C00022,7527,Empty,Empty,Empty
FA487712CC014,5700,Empty,Empty,Empty
INF601814C466,1448,Empty,Empty,Empty
VA25013C0096,3600,Empty,Empty,Empty
FA330017C0012,5700,Empty,Empty,Empty
36C26119C0099,3600,Empty,Empty,Empty
47PF0023C0003,4740,Empty,Empty,Empty
W912PL16C0038,2100,Empty,Empty,Empty
W912K617C5007,2100,Empty,Empty,Empty
FA486124C0025,5700,Empty,Empty,Empty
GS07P15URP0003,4740,Empty,Empty,Empty
GS08P11JBP0069,4740,Empty,Empty,Empty
W912QR09C0026,2100,Empty,Empty,Empty
GS09P08KZC0016,4740,Empty,Empty,Empty
GS09P05WLC0007,4740,Empty,Empty,Empty
36C24624C0013,3600,Empty,Empty,Empty
N4008520C0044,1700,Empty,Empty,Empty
XJ000200306DGS10P03XJC0058,4740,Empty,Empty,Empty
N4008008C0527,1700,Empty,Empty,Empty
W912J219C6002,2100,Empty,Empty,Empty
FA441708C0025,5700,Empty,Empty,Empty
N6945019C1324,1700,Empty,Empty,Empty
DOLETA16C0080,1630,Empty,Empty,Empty
N4008012C3043,1700,Empty,Empty,Empty
GS02P09PWC0011,4740,Empty,Empty,Empty
GS09P16WFC7006,4740,Empty,Empty,Empty
FA810117C0022,5700,Empty,Empty,Empty
N4008508C8462,1700,Empty,Empty,Empty
W912JM11C0018,2100,Empty,Empty,Empty
W9124Q09C0519,2100,Empty,Empty,Empty
N6247314C3425,1700,Empty,Empty,Empty
36C24222C0097,3600,Empty,Empty,Empty
FA813720C0077,5700,Empty,Empty,Empty
W5KA4N12C0068,2100,Empty,Empty,Empty
FA860105C0035,5700,Empty,Empty,Empty
SP470220C0018,97AS,Empty,Empty,Empty
GS10P11XJP0036,4740,Empty,Empty,Empty
VA243C1278,3600,Empty,Empty,Empty
36C25821C0067,3600,Empty,Empty,Empty
36C24923C0076,3600,Empty,Empty,Empty
W912KC07C0002,2100,Empty,Empty,Empty
GS07P11URC0020,4740,Empty,Empty,Empty
VA255C0576,3600,Empty,Empty,Empty
NNM16AA11C,8000,Empty,Empty,Empty
VA26316C0101,3600,Empty,Empty,Empty
N0042122C0029,1700,Empty,Empty,Empty
12854419C0010,12C2,Empty,Empty,Empty
36C24618C0079,3600,Empty,Empty,Empty
W9123622C2023,2100,Empty,Empty,Empty
W912DW23C0006,2100,Empty,Empty,Empty
W9123623C5014,2100,Empty,Empty,Empty
36C24224C0051,3600,Empty,Empty,Empty
FA460818C0008,5700,Empty,Empty,Empty
W912CL09C0012,2100,Empty,Empty,Empty
2032H321C00009,2001,Empty,Empty,Empty
140L5720C0007,1422,Empty,Empty,Empty
VA263C0012,3600,Empty,Empty,Empty
GS11P17NWC0038,4740,Empty,Empty,Empty
140P8219C0008,1443,Empty,Empty,Empty
