Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
FA910118C0039,236220,2018-08-24,5700,Z2JZ,Southwest,W3WZTCNZBM64,818250,1,0,Open,""
FA570217C0030,236220,2017-09-27,5700,Y1AA,Southeast,LN9PU5M2YZN5,695000,4,0,Open,8
N4008510C0032,236220,2010-09-28,1700,Z199,West,NMJZKCLLCFY1,822445,1,561,Open,""
FA570615C0024,236220,2015-09-28,5700,Y1PZ,West,DWWZEMMPEQR7,0,0,0,Open,4
N6945009C5068,236220,2009-03-12,1700,Z129,Southeast,Q78XQUM4JRR3,4520700,10,621123,Open,""
FA449718C0017,236220,2018-06-20,5700,Z2FB,Southeast,YWC2GEH2ZHK7,193670,5,83933,Open,4
FA860111C0100,236220,2011-09-21,5700,Z199,Midwest,LU4TLJNRXKG7,4068000,33,1596556,Open,3
N4008009C4412,236220,2009-09-25,1700,Z199,Southeast,KM1KVDZ8JUF9,760731,2,0,Open,""
N6247311C2841,236220,2011-09-30,1700,Y199,West,GSGLJBC5LJK8,645000,1,0,Open,""
FA700019C0004,236220,2018-10-23,5700,Z2JZ,West,V2MFXA4N7XC6,4788161,1,22525,Open,5
FA850104C0014,236220,2004-03-12,5700,Z129,Southeast,K14QAXSLKV17,191597,1,11179,Restricted,1
N4008014C2030,236220,2014-07-16,1700,Z2JZ,Southeast,M14ZDZ8WJZU4,794350,1,0,Open,""
N6247311C4428,236220,2011-09-27,1700,Z119,West,QC59GNJMHL85,600062,4,13003,Open,""
FA304715C0082,236220,2015-09-30,5700,Z2CZ,Southwest,GH6RHBSG9B83,682244,1,0,Open,3
FA461324C0010,236220,2024-06-12,5700,Z2JZ,West,GSKWN9HAD6V3,31241,0,0,Open,2
FA480010C0013,236220,2010-09-29,5700,Z111,Southeast,PJDANKJJMTY3,394545,2,0,Restricted,1
FA460014C0025,236220,2014-09-26,5700,Z2AZ,Midwest,JPL3Q7EK7E95,349495,1,0,Open,2
N6247201C3539,236220,2002-12-02,1700,Y159,Northeast,SJSGAMMN7L85,652372,0,0,Open,""
F2860903C0015,236220,2003-09-27,5700,Z111,Northeast,GKUMJS8XRVP5,11400,0,0,Restricted,1
N0042124C0002,236220,2023-10-03,1700,Z2AA,Southeast,W93JX95J2LR6,6794541,0,0,Open,""
N6247310C0216,236220,2010-09-29,1700,Z199,West,S1F4QN9HB2F7,1319045,1,0,Open,""
FA860115C0057,236220,2015-09-30,5700,Z2AZ,Midwest,TABLTHULNJJ7,2532500,11,1245752,Open,3
FA813721C0010,236220,2020-12-14,5700,Z1AA,Southwest,M34GPJWKR1K4,396142,3,0,Open,1
N4008010C1017,236220,2010-06-30,1700,Z199,Southeast,HGUALNKGMME8,166663,1,0,Open,""
