Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
N6247316C3804,236220,2016-09-19,1700,P500,Southwest,JN9LG5L9XMW4,3423057,4,27486,Restricted,1
H9227722C0008,236220,2022-07-23,97ZS,Z2JZ,Southeast,NN2NGPDNCK23,236812,3,1717,Open,4
N4425513C7002,236220,2013-07-31,1700,Y1NZ,West,GSGLJBC5LJK8,3477108,1,0,Restricted,1
N6945017C5212,236220,2017-06-27,1700,Z1AZ,Southeast,RZ53PAJUCNF4,1524536,1,7869,Restricted,1
N6660423C0044,236220,2023-05-18,1700,Z2AZ,Northeast,NZWSURFADCY1,346724,3,92009,Open,6
N4008010C1505,236220,2010-06-21,1700,Y119,Southeast,VEP4UN7LDMK5,6800000,17,3491057,Restricted,1
N4008518C0640,236220,2018-07-31,1700,Y1JZ,Midwest,X3BYPXNZN8N1,26812768,8,1695027,Open,15
N6247317C0424,236220,2017-09-15,1700,Y1AZ,West,D6XCSLLLB757,1004015,4,682938,Restricted,1
N4008013C4465,236220,2013-09-30,1700,Z1CZ,West,MB61MDZD7N11,215554,1,0,Restricted,1
N3319112C0614,236220,2012-09-26,1700,Y1FC,West,LMRMKLLL3LG5,59030099,14,4954969,Open,21
AE128510320,236220,2004-03-09,1630,Y119,Southeast,NQDBCHGLEDF6,0,1,768,Open,""
N6945011C6835,236220,2011-06-28,1700,Z142,Southwest,MRBBHRJYHZ56,837284,7,1311063,Restricted,1
N4008516C4422,236220,2016-09-02,1700,Z2AA,Southeast,T8UJFZNN4AM8,1989298,2,361518,Restricted,1
N6247306C4027,236220,2006-09-13,1700,Y166,West,HTSGGFP8QUJ5,307683,1,9556,Restricted,1
N3654A08C9011,236220,2008-07-21,1700,C119,Southeast,LN9PU5M2YZN5,75849,0,0,Open,4
N6247704C0532,236220,2004-02-24,1700,Z199,Southeast,NJKSKK8N9PE6,203939,0,0,Restricted,1
N6945008C3585,236220,2008-09-29,1700,Z111,West,RQ13XQQKKQ67,723437,4,87212,Restricted,1
N4008510C5305,236220,2010-09-27,1700,Y141,Southeast,X814TMNA3GN5,57289600,49,4313312,Open,11
HQ003417C0127,236220,2017-09-30,97F5,Y1AA,Southeast,JFXVRRLQR153,370136,5,883494,Restricted,1
N6247310C3407,236220,2010-03-31,1700,Z171,West,XBYQLLJVCFJ5,2750000,2,120000,Restricted,1
N4008518C8715,236220,2018-09-28,1700,Z2DA,Northeast,LCJ3FY3T4J43,15220035,25,2412688,Open,3
N6247306C5020,236220,2006-07-31,1700,Z119,West,MEKSHDL5THP8,862983,3,2000,Restricted,1
N6945012C2599,236220,2012-09-28,1700,Y1GD,Southeast,DEVNVKN8JC26,264913,2,27123,Restricted,1
HQ003408C0002,236220,2008-01-09,97F5,Y111,Southeast,SHG5YDSACYF1,518889,3,3324,Restricted,1
N4425506C8004,236220,2006-09-26,1700,Z191,West,NKM9NTKM27F7,470000,1,0,Restricted,1
N6945013C1257,236220,2013-08-14,1700,Y1AZ,Southeast,C63BW3GK71H8,15949000,15,3658802,Open,8
N4008508C8042,236220,2008-07-16,1700,Z299,Northeast,FWDLTQVPLEW5,79000,1,39553,Restricted,1
