Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
N6945018C7211,236220,2018-04-04,1700,Z2PZ,Southeast,CEG7BHZXSU75,2461440,6,567804,Open,""
N6945011C6346,236220,2011-09-28,1700,Z199,Southeast,FEPWBHA88N15,1028843,6,49988,Open,""
N0042123C0046,236220,2023-09-21,1700,Z2AA,Southeast,K1X3AGMLFCJ3,2663985,0,0,Open,""
N6274214C1312,236220,2014-06-17,1700,Z1BZ,West,TQRJKD7775R1,2699000,2,2699000,Open,""
HQ003409L3014,236220,2008-12-16,97F5,Z111,Southeast,CDLQNUJUNZF3,793238,1,84461,Open,""
N6247309C3433,236220,2009-07-21,1700,Z179,West,HNFPFN7KV558,1028275,1,0,Open,""
N6945017C5631,236220,2017-07-14,1700,Y1BG,Southeast,E3RAXP8YLQE3,507908,2,14336,Open,""
N6247313C4212,236220,2013-01-08,1700,Z1AA,West,F3FCJLTLEEW4,2599069,1,66906,Open,""
N6927203C0029,236220,2003-09-25,1700,Z163,Southeast,C16GLRZ3QJW8,199642,1,22871,Open,""
N6247311C2019,236220,2011-09-24,1700,Y159,West,K7KVV4LKL426,97615,0,0,Open,""
N6246705C3740,236220,2005-06-01,1700,Z119,Southwest,RK1JKAUL88J6,1319623,5,219981,Open,""
SP470220C0012,236220,2020-06-15,97AS,Z2AA,Midwest,T8L9KVJ6UKV7,268325,1,17051,Open,""
N4008518C3018,236220,2018-05-25,1700,Y1MG,Midwest,XG48FXWL2R99,811457,1,0,Open,""
N6247099C9123,236220,2003-02-06,1700,Y119,Southeast,RJACTB837YT1,3303342,11,179222,Open,""
W912PP10C0036,236220,2010-09-29,2100,Y169,Southwest,MRT5NMVQQDL8,2637203,28,1023525,Open,""
SP470213C1028,236220,2013-09-26,97AS,Z2AA,Midwest,LRGBFJFA6M89,571364,1,3505,Open,""
N4008012C1011,236220,2012-05-03,1700,Z2JZ,Southeast,JCUMH4FV7CS3,125349,0,0,Open,""
N4425518C7003,236220,2018-09-28,1700,J069,West,S3NSLFUS3Y73,227040,0,0,Open,""
N6945014C2760,236220,2014-09-30,1700,Y1EZ,Southeast,V23MRSK6DM84,661931,6,351235,Open,""
N4425515C7029,236220,2015-09-30,1700,Z2FB,West,F5QGMJDZSV98,165184,0,0,Open,""
N6945014C6080,236220,2014-09-30,1700,Y1AZ,Southeast,GRUVBCL86B39,0,4,1420111,Open,""
N3319111C1723,236220,2011-09-15,1700,Y142,Southeast,LN9PU5M2YZN5,374220,3,20000,Open,""
N6945012C1262,236220,2012-09-29,1700,Z1AA,Southeast,ERL7CTMLFER5,272962,4,14386,Open,""
N6247309C1840,236220,2009-09-28,1700,C117,West,EM35E72WAL33,2105610,2,0,Open,""
N4008009C4461,236220,2009-07-13,1700,Z199,Southeast,J7KZKS2H9DL7,116316,1,0,Open,""
N6247002C2032,236220,2004-09-17,1700,Y199,Southeast,V88WJGYGJU79,0,2,1150764,Open,""
N6945009C4130,236220,2009-09-21,1700,Z119,Southeast,NPRHJXMJ1JS4,1270870,1,0,Open,""
N3319117C1224,236220,2017-09-28,1700,Z2NZ,Northeast,X9NQJWT1FEC3,6483248,8,105360,Open,""
N6927203C0013,236220,2003-06-30,1700,Y129,Southeast,C16GLRZ3QJW8,1485353,5,2195920,Open,""
N4008007C0521,236220,2007-09-28,1700,C114,Southeast,CX7DE74VGGK7,2309272,9,885758,Open,""
N3319118C0214,236220,2018-08-30,1700,Z2JZ,West,ZNEQDU96DD97,254542,2,6687,Open,""
N6274216C1325,236220,2016-09-19,1700,Y1BZ,Southeast,FU82SJN5B5J3,44180000,55,12069699,Open,""
N4008011C4406,236220,2011-07-25,1700,Y149,Southeast,VS2KERR6U3K3,1267268,3,17581,Open,""
N4008521C0008,236220,2020-10-23,1700,Y1JZ,Southeast,RL6YZXFT8R87,2920895,4,532055,Open,""
FA890317C0021,236220,2017-07-18,5700,Y1BZ,West,GB34Z8NBMBJ6,243129,0,0,Open,""
N4425503C8003,236220,2003-08-06,1700,Y119,West,VA29NFJEKAE9,234329,4,37275,Open,""
N4008510C9441,236220,2010-03-18,1700,Y199,Northeast,FTJMEJQCG4L5,6257000,14,2671032,Open,""
N6895003C0029,236220,2003-10-15,1700,Y119,Midwest,N5KLVMF79HN5,3481615,5,435913,Open,""
N6247316C4601,236220,2016-02-26,1700,Y1AZ,West,QLM7JEFHLAJ6,2233966,6,232866,Open,""
N6274218C1304,236220,2018-07-23,1700,Y1DA,Southeast,STM7MM7C68J4,56677700,25,6426715,Open,""
N6945018C6421,236220,2018-09-29,1700,Z2AZ,Southwest,VCT5JU1AYDQ9,914432,0,0,Open,""
N6247312C4014,236220,2012-05-24,1700,Y1AA,Southwest,WCUTU3R5XAL5,54868,0,0,Open,""
N4008008C3511,236220,2008-08-07,1700,Y111,Southeast,DN8WJ5L5GB87,79056,0,0,Open,""
N4008013C2545,236220,2013-08-23,1700,Y1GA,Southeast,KVG8BMXKRMN9,198189,2,20082,Open,""
N6247313C0206,236220,2013-04-08,1700,Z2LZ,West,UJJGGR1LD5K5,133546,0,0,Open,""
N4008009C1045,236220,2009-09-16,1700,X199,Southeast,DN8WJ5L5GB87,725689,4,257659,Open,""
N4008509C2431,236220,2009-03-17,1700,Y244,Northeast,MEX9FCDC8H17,544728,3,35986,Open,""
N6238103C1012,236220,2003-07-22,1700,C129,Midwest,M5XKJ7HQ8SK9,134675,0,0,Open,""
AE103320020,236220,2004-03-19,1630,Y119,Southeast,ZFWWD7MYZ5D8,0,1,249830,Open,""
N4008524C0040,236220,2024-09-30,1700,Z2CZ,Southeast,N3MYJ5PNYYM7,133028,0,0,Open,""
N4008008C1069,236220,2008-09-15,1700,Y199,Southeast,DN8WJ5L5GB87,322905,6,176176,Open,""
N4008008C0001,236220,2007-10-05,1700,Y199,Southeast,H1KPDZLCMNR8,10517477,42,61892583,Open,""
N6945009C6339,236220,2009-09-18,1700,Z199,Southeast,WG6VHKCQ1YZ9,10598586,15,620551,Open,""
N4008524C0026,236220,2024-09-06,1700,Z1DZ,Southeast,MNRUA9KKC5A3,78406,0,0,Open,""
N4008508C2602,236220,2007-12-20,1700,Z139,Northeast,XSLTUH41MCE3,2991041,7,381116,Open,""
HQ003408L1044,236220,2008-08-21,97F5,Z199,Southeast,EB9EMEQNYFK5,110631,1,6198,Open,""
N6945009C2320,236220,2009-09-26,1700,Y111,Southeast,S26CS5EGE4L5,641720,5,21726,Open,""
N4008522C0032,236220,2022-07-29,1700,Y1EZ,Southeast,N2WKZLLGTLL7,10881000,8,692301,Open,""
DOLJ109630140,236220,2010-04-14,1605,Y119,Southeast,NLLKV94M2BP3,939412,4,137457,Open,""
N6246706C5751,236220,2006-08-10,1700,Y199,Southeast,MTXJF2HF2W83,978655,2,978655,Open,""
HC102812C0061,236220,2012-09-11,97AK,Y1AA,Midwest,FN7GJ7LGZBL5,209606,0,0,Open,""
N6247203C6030,236220,2003-06-13,1700,Z179,Northeast,EATDZJL6JFJ5,161000,0,0,Open,""
N6945016C7145,236220,2016-09-13,1700,Z2JZ,Southeast,LTPUJJSU6WN9,418457,0,0,Open,""
N6871104C4118,236220,2004-09-30,1700,Z111,West,HNFPFN7KV558,465000,3,98568,Open,""
HDEC0312C0008,236220,2012-09-20,97AZ,Y1AZ,Southeast,UHTNLFP5SV56,16776489,23,415032,Open,""
N4008017C0501,236220,2017-05-08,1700,Z2CZ,Southeast,CX7DE74VGGK7,3237260,1,208427,Open,""
N4008516C3631,236220,2016-09-29,1700,Y1JZ,Southeast,U8MKVGLBNC24,1395521,3,609413,Open,""
N6945007C6835,236220,2007-09-29,1700,Y299,Southwest,X1WKNAN1WH93,430783,1,245308,Open,""
N6246706C2930,236220,2006-09-17,1700,Z119,Southeast,HZ6TMWJDDVK5,83944,3,0,Open,""
N6945010C4591,236220,2010-09-20,1700,Y179,Southeast,S26CS5EGE4L5,684991,1,60514,Open,""
N6247316C0605,236220,2015-11-18,1700,Z2AA,Southwest,N5HHAULF5BY7,898970,3,0,Open,""
HQ003410C0062,236220,2010-09-28,97F5,Z300,Southeast,MN2UX8N12BK7,1090264,7,3704786,Open,""
N4008018C4443,236220,2018-09-07,1700,Z1DA,Southeast,CYWEA6PLVJ68,1112056,4,131933,Open,""
N6247306C4352,236220,2006-09-21,1700,Z111,West,HNFPFN7KV558,57016,1,3900,Open,""
N6945023C0012,236220,2023-02-21,1700,Z2AZ,Southeast,V23MRSK6DM84,897883,0,0,Open,""
N4008017C4468,236220,2017-09-30,1700,Y1DA,Southeast,MVREPKQXF5C3,174680,0,0,Open,""
N6945007C5094,236220,2007-09-10,1700,Z154,Southeast,CDVAYQA2C6N1,229955,1,3214,Open,""
N4008511C2069,236220,2011-05-10,1700,Y199,Northeast,FTJMEJQCG4L5,170028,0,0,Open,""
N6945009C0758,236220,2009-09-29,1700,Y159,Midwest,D2HJZEKKMV77,26702919,25,8244938,Open,""
HQ009504C0041,236220,2004-09-20,97F5,Z111,Southeast,PSWLLQX5KFM3,126715,2,26570,Open,""
N4008509C0213,236220,2009-09-29,1700,Z199,Southeast,E2LNTGNM1968,279665,0,0,Open,""
N6247309C1228,236220,2009-05-01,1700,Y163,West,X1JQQZY2G658,92249000,21,29935621,Open,""
N4008516C0474,236220,2016-09-29,1700,Z2AZ,Southeast,EPQLQG38JBZ1,448628,0,0,Open,""
N4008010C3034,236220,2010-08-23,1700,Y119,Southeast,HMRMC9VEM669,1446124,1,1416,Open,""
FA890316C0001,236220,2016-02-05,5700,Y1BZ,West,JM61NJRD58C8,4831349,7,355681,Open,""
SP330016C0042,236220,2016-08-25,97AS,Z2GZ,West,PWMFYG34A469,272000,1,15925,Open,""
HQ009504C0042,236220,2004-09-27,97F5,Z111,Southeast,X7G4T5ST7AK4,75000,1,8000,Open,""
N4425503C8018,236220,2003-09-04,1700,Z119,West,VA29NFJEKAE9,92500,0,0,Open,""
HQ003416C0003,236220,2015-11-04,97F5,Z1NB,Southeast,J65HGDJWBFN5,49186,1,19802,Open,""
AE11862,236220,2003-12-10,1630,Y119,Southeast,RQ3CN4HB52E4,0,1,54129,Open,""
N4425507C0011,236220,2007-06-07,1700,Z299,Midwest,X3BYPXNZN8N1,24250000,19,31668131,Open,""
N4008516C1108,236220,2016-02-29,1700,Y1AA,Southeast,EPQLQG38JBZ1,1842921,2,540375,Open,""
N4008514C3528,236220,2014-06-24,1700,Z2FB,Northeast,E9GJK952LPJ9,170000,0,0,Open,""
HDEC0320C0002,236220,2020-08-27,97AZ,Z2AZ,West,MWFFNLC2EX15,251862,4,40393,Open,""
N4008008C2055,236220,2008-09-25,1700,Y199,Southeast,CEHNA6XZU795,125000,0,0,Open,""
N6945016C7140,236220,2016-05-18,1700,Z2AA,Southeast,E8MCAKAVZ8C4,1392330,5,155465,Open,""
N6247312C5005,236220,2011-12-07,1700,Z1EB,West,Q4G1TQM6Y916,2462357,7,679254,Open,""
N4008017C4455,236220,2017-09-28,1700,Z1DB,Southeast,CP4NW4REPH28,1094104,5,330299,Open,""
N4008014C3522,236220,2014-08-20,1700,Z2JZ,Southeast,KVG8BMXKRMN9,1148259,2,91015,Open,""
N4008507C4432,236220,2007-08-31,1700,Y199,Northeast,QS4DKQ72ZK25,493924,0,0,Open,""
N6247309C1849,236220,2009-09-30,1700,Z299,West,XBYQLLJVCFJ5,1494930,3,78153,Open,""
N6871103C2368,236220,2003-09-19,1700,Z119,Northeast,U8Z9UMQDFJM4,212452,0,0,Open,""
N4008009C4463,236220,2009-09-08,1700,Z199,Southeast,MN2UX8N12BK7,224262,0,0,Open,""
N4008308C1051,236220,2008-09-29,1700,Y199,Midwest,GBJ2UMW56NW9,964222,4,138592,Open,""
N4008521C0018,236220,2020-12-18,1700,Y1AA,Southeast,CKWRPN22N5Y3,13437820,16,4047243,Open,""
N4008010C3009,236220,2010-03-01,1700,Z111,Southeast,HMRMC9VEM669,237076,1,7159,Open,""
N4008514C6877,236220,2014-09-24,1700,Z2AZ,Southeast,GJ73YK46LRJ7,1098818,4,0,Open,""
AE137210000410,236220,2005-05-09,1630,Y169,Northeast,FYF1DNQHJV64,0,1,7845,Open,""
N6945010C4119,236220,2010-03-02,1700,Z129,Southeast,NPRHJXMJ1JS4,1398000,1,0,Open,""
N4008518C0633,236220,2018-09-28,1700,Y1JZ,Midwest,XG48FXWL2R99,776945,1,0,Open,""
N6871103C2225,236220,2003-09-17,1700,Y119,West,XL1HXLG5L2G8,627638,1,14993,Open,""
N6945009C3599,236220,2009-09-08,1700,Z111,Southeast,RQ13XQQKKQ67,1071228,2,999338,Open,""
N6247306C5001,236220,2006-03-31,1700,Z119,West,QTGBJMFN6DC3,9883000,15,2903406,Open,""
N6945009C1756,236220,2009-05-29,1700,Y119,Southeast,KJ1ZS574VV73,58079920,28,46202413,Open,""
N6871104C4215,236220,2004-09-28,1700,Y291,West,VHBWY3U8CXD8,199161,0,0,Open,""
N6945015C5361,236220,2015-09-30,1700,Z2QA,Southwest,WKLSQ2ZZ6H93,196403,0,0,Open,""
