Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($),Competition Type,Bids
W912PP10C0036,236220,2010-09-29,2100,Y169,Southwest,MRT5NMVQQDL8,2637203,28,1023525,Open,""
FA890317C0021,236220,2017-07-18,5700,Y1BZ,West,GB34Z8NBMBJ6,243129,0,0,Open,""
AE103320020,236220,2004-03-19,1630,Y119,Southeast,ZFWWD7MYZ5D8,0,1,249830,Open,5
DOLJ109630140,236220,2010-04-14,1605,Y119,Southeast,NLLKV94M2BP3,939412,4,137457,Open,""
FA890316C0001,236220,2016-02-05,5700,Y1BZ,West,JM61NJRD58C8,4831349,7,355681,Open,""
AE11862,236220,2003-12-10,1630,Y119,Southeast,RQ3CN4HB52E4,0,1,54129,Open,8
AE137210000410,236220,2005-05-09,1630,Y169,Northeast,FYF1DNQHJV64,0,1,7845,Open,3
FA910115C0049,236220,2015-09-29,5700,Z2EZ,Southeast,TZ2RM3HAVK37,397386,2,5408,Open,""
1630DC18C0038,236220,2018-07-20,1630,Y1JZ,Southeast,L76ZSHNB61Z3,494177,3,281801,Restricted,1
DOLETA17C0018,236220,2016-11-18,1630,K056,West,UXRAACNCDZ33,103895,0,0,Restricted,1
DOLJ121A21897,236220,2012-06-26,1630,Y1FD,West,KGKAW4BE44C9,2994201,10,241644,Open,6
DOLJ061A20318,236220,2006-02-02,1630,Y199,West,G5HYFEMZL3T4,5882565,8,180285,Open,2
DOLETA16C0113,236220,2016-09-15,1630,Y1AA,Southeast,C6F6VV6RFS15,400007,2,34200,Restricted,1
FA910118C0022,236220,2018-06-28,5700,Z2JZ,Southeast,VLMDLTC39ZE5,2865705,4,38285,Open,""
W911KB09C0018,236220,2009-05-15,2100,Y299,West,VFFZN7BUVVX2,11737800,28,304452,Open,""
AE117930000120,236220,2004-04-26,1630,Y119,Northeast,MLSMLM5BFMW5,0,17,8677058,Open,5
1630DC17C0008,236220,2017-06-06,1630,C1KZ,West,LNCPPJ2AFB52,367977,1,12186,Restricted,1
AE122820000220,236220,2004-05-21,1630,Y119,Northeast,EATDZJL6JFJ5,0,3,185618,Open,8
DOLJ069124368,236220,2006-09-29,1630,Y119,Southeast,WKQLWLN52A23,2985984,4,93488,Restricted,1
DOLJ041A00002,236220,2004-04-09,1630,Y119,Midwest,JTGKQSU8KFL9,3320650,2,26466,Open,9
AE129820000345,236220,2004-05-27,1630,Y119,Southwest,J9HVTKUKY1M5,0,1,18840,Open,1
AE136110420,236220,2003-11-07,1630,Y119,Southeast,WKQLWLN52A23,635901,0,0,Open,1
DOLJ11MR20794,236220,2011-09-29,1645,Y111,Southeast,QE7MS6J8NK85,2658747,3,300000,Open,""
1630DC17C0028,236220,2017-06-29,1630,Y1JZ,Northeast,LKC1YLJ12NB4,852675,6,21602,Open,4
FA910110C0030,236220,2010-09-10,5700,Z192,Southeast,CBFHMSK95VT9,999800,3,25906,Open,""
DOLJ041A000020,236220,2005-02-04,1630,Y119,Midwest,JTGKQSU8KFL9,0,1,2046,Open,9
DOLJ121A21974,236220,2012-09-28,1630,Y1FD,Northeast,FYF1DNQHJV64,4984833,4,22122,Open,3
DOLJ121A21913,236220,2012-06-26,1630,C211,Southeast,CBZ1ZCWEANM4,4150000,10,252685,Restricted,1
FA910110C0013,236220,2010-04-26,5700,Z199,Southeast,PPA8HKRTH8V1,87986,0,0,Open,""
FA890316C0009,236220,2016-09-02,5700,Y1BZ,West,JM61NJRD58C8,2448065,1,0,Open,""
DOLJ109630153,236220,2010-04-09,1605,Y119,Midwest,DC9WNJHGHBQ6,375258,0,0,Open,""
W9126G10C0079,236220,2010-07-30,2100,Y111,Southwest,PJL2EDKR1LW1,1831160,10,133428,Open,""
DOLETA14H0008,236220,2014-06-27,1630,Y1CZ,Southeast,CBZ1ZCWEANM4,0,8,2237295,Restricted,1
DOLETA16C0064,236220,2016-06-22,1630,C1KZ,Southwest,YMCFGH28QC18,774077,2,26856,Open,1
1630DC17C0024,236220,2017-06-16,1630,C1AZ,Southeast,VRAHG9BDXCP9,59714676,16,45056424,Open,3
AE128810000320,236220,2004-07-13,1630,Y199,Southeast,ZDURM35BEN48,0,23,6399124,Open,50
FA890317C0030,236220,2017-09-29,5700,Y1BZ,West,JM61NJRD58C8,460749,2,0,Open,""
1630DC19C0016,236220,2019-06-26,1630,C1KZ,Southeast,CEG7BHZXSU75,471727,1,0,Open,1
W912QR10C0002,236220,2009-10-09,2100,Y199,Northeast,LCJ3FY3T4J43,6490520,74,2267800,Open,""
HHSI24120040024CC,236220,2004-05-07,7520,Z142,Midwest,F37PJXDMQG76,232565,4,8896,Open,""
DOLJ051A20101,236220,2005-05-26,1630,Y119,Midwest,JZJAJS816KU1,2329994,3,12577,Restricted,1
DOLETA16C0019,236220,2015-12-04,1630,Y1JZ,West,LNCPPJ2AFB52,3000000,5,253699,Restricted,1
DOLJ041A10019,236220,2004-09-02,1630,Y119,Southwest,J6TKK1KB36B7,2637218,1,0,Restricted,1
DOLJ111A21689,236220,2011-06-29,1630,Y119,Southeast,TM6LCC4X4CV1,4444301,5,745312,Open,11
FA890318C0021,236220,2018-08-10,5700,Y1BZ,West,JM61NJRD58C8,649768,0,0,Open,""
DOLJ131A22108,236220,2013-08-23,1630,Y1CA,Southeast,N8VQYJWD8CR5,28000,6,195241,Open,1
DOLJ111A21709,236220,2011-06-30,1630,Y199,Southeast,MLJXVS2FSRB3,2249733,3,9908,Open,10
DOLJ121A21919,236220,2012-06-29,1630,Z1CZ,West,T8NAX48XA2W3,883182,9,79639,Restricted,1
DOLJ041A00022,236220,2004-06-30,1630,Y119,West,GXLFMFL81MD3,2986285,2,109698,Restricted,1
DOLJ051A20211,236220,2005-08-04,1630,Y119,Southeast,GJBUG1SC8TD4,1768000,2,26536,Open,4
W9126G10C0087,236220,2010-09-10,2100,Y141,Southwest,V7JHGJU9KNJ4,503832293,136,388388548,Open,""
DOLETA16C0123,236220,2016-09-20,1630,C1KZ,Southeast,JET2NSMLD4G8,413182,6,92547,Open,1
HHSI102200500001C,236220,2004-10-13,7527,Y142,West,PKLBZ852ZFM4,3811000,17,674290,Open,""
DOLJ111A21702,236220,2011-06-29,1630,Y119,Midwest,TNBFP7BU3PQ3,23435956,1,23038222,Open,4
DOLJ051A20003,236220,2004-12-14,1630,Y119,Midwest,NJ9KBF5NDLF1,3491000,9,171578,Open,8
DOLJ094R22441,236220,2009-02-13,1645,Z119,Southeast,WCU4TE2ACKJ3,7808,4,91523,Open,""
W912WJ09C0008,236220,2009-09-25,2100,Y199,Northeast,FTJMEJQCG4L5,792000,6,859326,Open,""
FA910111C0047,236220,2011-09-30,5700,Y174,Southeast,CBFHMSK95VT9,571200,6,32511,Open,""
DOLJ109630287,236220,2010-05-14,1605,Y119,Midwest,CZHMR29JV5G7,1245741,0,0,Open,""
1630DC17C0012,236220,2017-05-26,1630,C1AZ,Southeast,QJB7NSFMHC61,59714676,1,59714676,Open,3
DOLJ041A00012,236220,2004-05-28,1630,Y299,Northeast,EATDZJL6JFJ5,1257000,0,0,Restricted,1
DOLJ061A20388,236220,2006-06-30,1630,Y139,Southeast,MGMKEJ19PET7,1828926,1,73970,Restricted,1
1630DC19C0014,236220,2019-06-25,1630,C1KZ,Southeast,DQ5NYJWS6GL5,325900,4,30199,Open,1
DOLJ051A20011,236220,2005-01-14,1630,Y139,Northeast,FYF1DNQHJV64,5784887,6,500103,Open,3
DOLJ121A21925,236220,2012-06-29,1630,Y1NZ,West,GCLFFSHVY9F3,323580,2,24813,Open,2
DOLETA16C0055,236220,2016-06-14,1630,C1KZ,Midwest,DMG2MMNMUK46,1049830,6,19573,Restricted,1
DOLJ121A21847,236220,2012-03-19,1630,Y1CZ,Midwest,TYY5N9XN7JU1,854800,2,1709600,Open,2
AE125990000220,236220,2004-05-25,1630,Y169,Northeast,DAV2GAK1KM79,0,6,100199,Open,3
FA910110C0014,236220,2010-05-03,5700,Z199,Southeast,K88KCNTWMMC9,207000,1,0,Open,""
DOLJ041A10016,236220,2004-08-26,1630,Y199,Northeast,EATDZJL6JFJ5,2857000,2,235517,Open,3
1630DC20C0010,236220,2020-02-28,1630,C1KZ,West,CNK9KG2BZHV7,180450,3,37786,Restricted,1
DOLJ051A20224,236220,2005-09-16,1630,Y169,Northeast,DAV2GAK1KM79,10029000,12,202344,Open,4
DOLJ051A20215,236220,2006-10-04,1630,Y169,West,T3LKPG2MGJG5,0,1,0,Open,8
AE1362304000020,236220,2004-09-30,1630,Y119,Northeast,LALFKXYL3GL3,0,1,34364,Restricted,1
DOLETA16C0080,236220,2016-06-27,1630,C1KZ,Midwest,DQNLKMRXG8N5,487636,1,33955,Restricted,1
DOLETA16C0091,236220,2016-08-10,1630,C1KZ,Southeast,HMJRCAJ1NKV3,1965923,0,0,Restricted,1
AE136230000420,236220,2004-04-20,1630,Y119,Northeast,LALFKXYL3GL3,0,4,244262,Restricted,1
W52P1J19C0050,236220,2019-09-24,2100,Y1HA,Midwest,SHW3J24KKXD1,12175467,39,16904114,Open,""
DOLJ061A20344,236220,2006-06-13,1630,Y119,West,Z82MNG6BSUG4,4510000,5,120440,Open,3
HHSI241200500027C,236220,2005-09-28,7520,Y249,Midwest,YUACLLKCCF66,234900,2,32653,Open,""
DOLETA16C0097,236220,2016-08-25,1630,C1KZ,Southeast,H2U8P7XDJBP6,88980,7,102712,Open,1
FA910110C0003,236220,2009-12-14,5700,Z299,Southeast,F9AXSNHG8GZ4,487978,0,0,Open,""
FA890319C0021,236220,2019-07-30,5700,Y1FE,Midwest,E19YZB6V2LN7,158000000,12,133512847,Open,""
DOLJ121A21911,236220,2012-06-26,1630,Y1CZ,Southeast,WKQLWLN52A23,2711177,5,335061,Open,1
AE137540000420,236220,2004-04-08,1630,Y119,Midwest,JZJAJS816KU1,1277500,3,21598,Open,4
W912DW09C0034,236220,2009-09-30,2100,Y199,West,XM3MFEDALME6,9522943,61,4227929,Open,""
DOLJ109629902,236220,2009-12-30,1605,Y119,Southeast,D4VQMKB86C75,488567,1,67277,Open,""
FA910116C0006,236220,2016-06-03,5700,Z2JZ,Southeast,LTPUJJSU6WN9,570497,1,30505,Open,""
DOLJ099628845,236220,2009-06-02,1605,Y119,Southeast,NLLKV94M2BP3,3295189,4,6037648,Open,""
FA910114C0030,236220,2014-09-15,5700,Z1EZ,Southeast,J37BMDLKC8J7,65000,0,0,Open,""
FA890316C0005,236220,2016-04-21,5700,Y1EZ,West,F8VLWK5HJGJ5,4669288,7,3683905,Open,""
AE118620220,236220,2003-10-27,1630,Y199,Southeast,RQ3CN4HB52E4,0,1,31019,Open,8
AE103320000020,236220,2004-05-20,1630,Y119,Southeast,ZFWWD7MYZ5D8,0,4,32213,Open,5
DOLJ07MR20515,236220,2007-09-25,1645,AD64,Northeast,H5BVLTCWHDH5,1618536,2,214761,Open,""
DOLJ124R24916,236220,2012-09-29,1645,Y1AZ,Southeast,JCUMH4FV7CS3,683546,4,97315,Open,""
FA910117C2000,236220,2017-09-19,5700,Z2EZ,Southwest,F7FYWKK4NRN7,268691,1,11925,Open,""
AE129880320,236220,2004-04-15,1630,Y199,Southeast,WKQLWLN52A23,0,2,28791,Open,1
AE117930120,236220,2004-03-19,1630,Y119,Northeast,MLSMLM5BFMW5,0,1,81214,Open,10
DOLJ131A22072,236220,2013-06-28,1630,C1CZ,West,NN4XR6HFNJV9,41303762,9,973557,Open,3
AE127590000320,236220,2004-04-23,1630,Z199,Northeast,MZSZLC7TJPA5,0,9,746380,Open,5
1630DC19C0017,236220,2019-08-01,1630,C1KZ,Northeast,FP81HS769ST5,732241,1,0,Open,9
N6945009C3119,236220,2009-07-10,1700,Z179,Southwest,H4HBEYUCZ7M1,1069997,2,0,Open,""
FA910116C0068,236220,2016-09-21,5700,Z1HA,Southeast,KVG8BMXKRMN9,264497,1,0,Open,""
DOLJ109629995,236220,2010-03-04,1605,Y119,West,J695EGNCJXB5,462603,0,0,Open,""
DOLJ051A20151,236220,2005-06-30,1630,Y119,West,JN1SGFCFZYJ7,2713000,1,0,Open,4
W911S110C0010,236220,2010-03-30,2100,Z199,Southeast,MQ48EA8RREF4,252500,26,43159,Open,""
DOLJ051A20250,236220,2005-09-29,1630,Y199,West,DSBADMGCX5B4,12947000,11,572590,Open,4
W912QR09C0049,236220,2009-07-22,2100,Y211,Midwest,HH96JGLKBWZ2,40282418,80,8944683,Open,""
DOLJ041A10034,236220,2004-09-24,1630,Y119,Midwest,ZUCMGBGL6GG8,753268,1,753268,Restricted,1
DOLJ111A21699,236220,2011-06-30,1630,Y119,West,M77CL2KX92M3,5667100,24,1522808,Open,7
AE128200000345,236220,2004-05-07,1630,Y199,Southwest,J9HVTKUKY1M5,0,3,941276,Open,1
DOLJ121A21904,236220,2012-06-28,1630,Y1CZ,West,CQVYCHZHHFW7,1998432,1,0,Open,3
E65538008220,236220,2005-01-13,1630,Y199,West,F2LWBYMVC686,0,1,337305,Open,4
FA890315C0021,236220,2015-09-30,5700,Y1EZ,West,JM61NJRD58C8,8777367,1,0,Open,""
DOLJ051A20152,236220,2005-06-30,1630,Y119,Southeast,TG7CAZGSDF27,4680000,0,0,Open,8
DOLJ111A21735,236220,2011-06-30,1630,Y119,West,FMW2Z3B2YJ79,7825560,18,1400243,Open,9
FA910118C2000,236220,2018-04-05,5700,Z2AA,Southwest,W3WZTCNZBM64,271610,0,0,Open,""
AE137370000420,236220,2004-07-23,1630,Y169,West,CSQXK7FBMW96,1488800,2,1840,Open,5
AE134260000320,236220,2004-08-13,1630,Y199,Northeast,EATDZJL6JFJ5,0,1,137400,Restricted,1
DOLETA16H0008,236220,2016-04-28,1630,Y1CZ,West,LNCPPJ2AFB52,408879,4,344777,Restricted,1
HHSI102200500003C,236220,2005-01-11,7527,C215,West,TS6JPZLWN8G1,25033,3,28183,Open,""
DOLJ051A20149,236220,2005-06-29,1630,Y111,Northeast,FTJMEJQCG4L5,735955,1,53712,Restricted,1
AE128510000320,236220,2004-09-30,1630,Y119,Southeast,NQDBCHGLEDF6,0,1,3256,Open,5
FA910110C0004,236220,2010-01-20,5700,Z199,Southeast,J37BMDLKC8J7,235700,2,12961,Open,""
DOLJ051A20090,236220,2005-05-11,1630,Z199,Southeast,MGMKEJ19PET7,759981,1,26142,Restricted,1
1645BC19C0014,236220,2019-09-25,1645,Z2FA,Southeast,LJN1TVHWPFL6,3509716,10,297543,Open,""
DOLETA14C0007,236220,2014-06-13,1630,Y1CZ,West,MY4DNWXWL7M1,4295920,19,444776,Open,5
DOLETA14H0017,236220,2014-08-27,1630,C1KZ,Midwest,DMG2MMNMUK46,731757,4,2712,Restricted,1
AE128810320,236220,2004-06-29,1630,Y169,Southeast,ZDURM35BEN48,0,1,16805,Open,6
FA890316C0021,236220,2016-09-20,5700,Z2NB,West,GB34Z8NBMBJ6,2020886,1,0,Open,""
1645BC19C0012,236220,2019-09-16,1645,Z2CZ,Southeast,DLFKJ7R3VBK5,34510,0,0,Open,""
DOLJ051A20083,236220,2005-05-13,1630,AD61,Midwest,TNBFP7BU3PQ3,747807,1,3919,Open,1
W52P1J17C0065,236220,2017-09-27,2100,Z2AZ,Southeast,H8GKWEQMBP83,3972696,1,0,Open,""
AE137210000420,236220,2004-02-03,1630,Y169,Northeast,FYF1DNQHJV64,4213000,7,77684,Open,3
HHSI161200300029C,236220,2004-07-22,7520,Y141,Southwest,Z8THBD2N3W29,4647393,1,0,Open,""
DOLJ131A22121,236220,2013-09-13,1630,Z1NB,Midwest,M5QNHJABQ6M7,2092086,3,65829,Restricted,1
DOLJ041A000002,236220,2004-10-18,1630,Y199,Midwest,JTGKQSU8KFL9,0,1,6492,Open,7
DOLJ051A20214,236220,2005-12-30,1630,Y169,Southeast,T3LKPG2MGJG5,7317216,8,68834,Open,8
DOLJ041A10025,236220,2004-09-10,1630,Y139,Southwest,S53DRTGCDYB3,2121415,4,81425,Restricted,1
AE136110000420,236220,2004-04-30,1630,Y119,Southeast,WKQLWLN52A23,0,2,27054,Restricted,1
DOLJ074R21586,236220,2007-09-18,1645,Y119,Midwest,RJS8EXVAWZY5,294995,0,0,Open,""
HHSP233201300042C,236220,2013-09-27,7570,Z2AZ,West,XGVNDA4HVNM6,34007,0,0,Open,""
DOLETA14C0010,236220,2014-06-16,1630,C1KZ,Northeast,S6EKC2D89L24,9970000,42,8668414,Open,7
HSFLC05N00004,236220,2005-09-07,7015,Z111,Southeast,EHMDR9ELXEM9,0,3,24935,Open,""
DOLJ051A20158,236220,2005-06-30,1630,Y139,Southeast,FH8MS1YGJ277,4120460,5,312922,Open,8
DOLJ041A00028,236220,2004-10-26,1630,Y119,Southwest,J695EGNCJXB5,0,7,34984,Restricted,1
DOLETA16C0023,236220,2015-12-15,1630,C1KZ,Southeast,ZQ2CCJ452CV9,897263,7,61998,Restricted,1
DOLJ109630456,236220,2010-07-28,1605,Y119,Midwest,JT3ULFJ9UJL4,3145512,1,27782,Open,""
FA890314C0013,236220,2014-09-29,5700,Y1AA,Southeast,KW9NCQ8W64S4,541709,0,0,Open,""
DOLJ109630225,236220,2010-04-30,1605,Y119,Southeast,D328ELWGNPU5,285278,0,0,Open,""
AE129880000320,236220,2004-08-13,1630,Y199,Southeast,WKQLWLN52A23,0,3,61794,Restricted,1
509360401,236220,2003-10-20,1226,Y299,West,JZGYG5YAY9K3,517323,8,219545,Open,""
AE125990220,236220,2004-03-15,1630,Y169,Northeast,DAV2GAK1KM79,0,1,42726,Open,3
DOLJ084R21871,236220,2007-12-13,1645,Y112,Northeast,HPCTKE4DCTY9,47932,0,0,Open,""
1630DC19C0008,236220,2019-05-09,1630,C1AZ,Northeast,HZVHT9LKS969,2499491,9,54923,Restricted,1
DOLETA15C0070,236220,2015-08-17,1630,C1KZ,Southeast,N8VQYJWD8CR5,3295248,4,49180,Restricted,1
DOLJ109629892,236220,2009-12-30,1605,Y119,Southwest,NCNXHKMP58W6,474979,0,0,Open,""
DOLJ051A20001,236220,2004-11-12,1630,Y119,Southeast,MA7JSJ5NKNU8,337260,1,12645,Restricted,1
HSFLC06C00003,236220,2006-09-27,7015,Y199,Southeast,EHMDR9ELXEM9,342939,0,0,Open,""
DOLJ109430971,236220,2010-09-16,1605,Y111,Southeast,NY6DCJKBBRA7,204103,0,0,Open,""
DOLJ109630195,236220,2010-04-16,1605,Y119,Southeast,JDN1LNKRCYQ1,533790,0,0,Open,""
DOLETA14H0010,236220,2014-08-07,1630,Y1CZ,West,Z3T9HM7NBZX3,6809000,25,250056,Open,12
AE134280320,236220,2004-08-20,1630,Y162,Midwest,NCXQLA9LTBH4,0,1,0,Open,5
DOLJ131A22090,236220,2013-06-28,1630,Y1JZ,West,T8NAX48XA2W3,239681,0,0,Open,1
DOLJ061A20337,236220,2006-05-17,1630,Y139,Southwest,NSS4MTJHB989,5946336,9,390499,Open,1
VAW9128F12C0086,236220,2012-09-13,2100,Y1DZ,West,KBQ9RWRQMVH7,8510601,2,42121,Open,""
FA910118C0039,236220,2018-08-24,5700,Z2JZ,Southwest,W3WZTCNZBM64,818250,1,0,Open,""
DOLJ121A21992,236220,2012-09-28,1630,Y1CZ,Midwest,YUE5MGNKYJM1,13195000,14,279110,Open,6
DOLJ061A20312,236220,2005-12-16,1630,Y119,Midwest,SKU3DQLW1AD3,0,5,359975,Open,4
AE122820220,236220,2004-03-26,1630,Y119,Northeast,EATDZJL6JFJ5,0,2,118323,Open,8
DOLJ131A22071,236220,2013-06-26,1630,Y1CZ,West,EQ63N4N7KLH7,1191274,10,149715,Open,1
DOLJ061A20415,236220,2006-08-11,1630,Y119,Midwest,FBAHL797CJF6,4359000,4,33006,Open,6
DOLETA14C0021,236220,2014-06-25,1630,J038,Southeast,KY8HD7R6GL46,148000,1,91328,Restricted,1
DOLJ051A20012,236220,2005-01-13,1630,Y119,Northeast,FYF1DNQHJV64,98895,0,0,Restricted,1
DOLJ041A10042,236220,2004-09-30,1630,Y199,West,TA9UB52MB9K8,5552502,10,874256,Open,6
AE128510320,236220,2004-03-09,1630,Y119,Southeast,NQDBCHGLEDF6,0,1,768,Open,5
DOLJ111A21653,236220,2011-04-07,1630,Y164,West,G88FXLKTR8J5,2289000,5,60699,Open,13
AE134280000320,236220,2004-09-09,1630,Y162,Midwest,NCXQLA9LTBH4,0,8,328629,Open,5
DOLJ041A10022,236220,2004-09-17,1630,Y119,Southeast,GF8ETCAYLJE7,660960,0,0,Restricted,1
DOLJ041A00015,236220,2004-05-28,1630,Y162,Northeast,ZCP2NM1YKA35,3453000,3,69906,Open,5
HHSI241200500030C,236220,2005-09-22,7520,AD64,Midwest,YUACLLKCCF66,236970,1,500,Open,""
DOLJ061A20322,236220,2006-02-10,1630,Y169,West,U7EFXRLADRL1,3137000,6,18991,Open,3
1630DC20C0011,236220,2020-03-13,1630,C1KZ,Midwest,UFYERYWRN1X8,296726,2,0,Restricted,1
DOLJ051A20095,236220,2005-05-19,1630,Y169,Southeast,XS4KJ3DW9MJ4,3380000,8,144542,Open,4
