Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
GS11P17NWC0047,4740,Empty,Empty,Empty
W91B4K09C5077,2100,Empty,Empty,Empty
GS11P09NWC0016,4740,Empty,Empty,Empty
N6945018C7211,1700,Empty,Empty,Empty
FA480015C0012,5700,Empty,Empty,Empty
FA452814C3001,5700,Empty,Empty,Empty
N6945011C6346,1700,Empty,Empty,Empty
AG95CVC080011,12H2,Empty,Empty,Empty
AG92X95082X940181,12C2,Empty,Empty,Empty
140R1022C0006,1425,Empty,Empty,Empty
47PE0724C0007,4740,Empty,Empty,Empty
W50S7Z22C0016,2100,Empty,Empty,Empty
GS03P16QKC7053,4740,Empty,Empty,Empty
N0042123C0046,1700,Empty,Empty,Empty
GS03P16QAC7029,4740,Empty,Empty,Empty
W9126G12C0064,2100,Empty,Empty,Empty
W5J9JE10C0026,2100,Empty,Empty,Empty
GS05P16SVC7026,4740,Empty,Empty,Empty
W50S9120C0003,2100,Empty,Empty,Empty
36C25523C0103,3600,Empty,Empty,Empty
W91QV115C0132,2100,Empty,Empty,Empty
W912KC04C0018,2100,Empty,Empty,Empty
W912QR05C0024,2100,Empty,Empty,Empty
SPK33011C5544M001,1900,Empty,Empty,Empty
W9128F15C0042,2100,Empty,Empty,Empty
3615200309D50361530300,12H2,Empty,Empty,Empty
47PA0318C0018,4740,Empty,Empty,Empty
47PG0422C0006,4740,Empty,Empty,Empty
5680200308D50568030484,12C2,Empty,Empty,Empty
W912BU09C0057,2100,Empty,Empty,Empty
INPC2011100614,1443,Empty,Empty,Empty
GS10P05XFC0022,4740,Empty,Empty,Empty
V244C00130,3600,Empty,Empty,Empty
GS09P09WMC0017,4740,Empty,Empty,Empty
GS03P10QKC0022,4740,Empty,Empty,Empty
INP11PC60632,1443,Empty,Empty,Empty
W912NR15C0002,2100,Empty,Empty,Empty
W912LA18C8001,2100,Empty,Empty,Empty
GS04P05RAC0014,4740,Empty,Empty,Empty
W911YP08C0007,2100,Empty,Empty,Empty
W917PM07C0087,2100,Empty,Empty,Empty
SAF20010C2247,1900,Empty,Empty,Empty
VA259C0831,3600,Empty,Empty,Empty
VA24514C0102,3600,Empty,Empty,Empty
W9126G15C0251,2100,Empty,Empty,Empty
GS06P11TNC0011,4740,Empty,Empty,Empty
19AQMM21C0101,1900,Empty,Empty,Empty
12FPC322C0002,12D0,Empty,Empty,Empty
75H70122C00013,7527,Empty,Empty,Empty
VA261C0447,3600,Empty,Empty,Empty
W9126G09C0066,2100,Empty,Empty,Empty
FA486124C0028,5700,Empty,Empty,Empty
INLNDC070039,1422,Empty,Empty,Empty
GS09P14WFC0032,4740,Empty,Empty,Empty
47PD0218C0021,4740,Empty,Empty,Empty
AG32KWC150031,12K3,Empty,Empty,Empty
F11CC10487,3300,Empty,Empty,Empty
N6274214C1312,1700,Empty,Empty,Empty
2031ZA22C00473,2041,Empty,Empty,Empty
W91B4P12C0050,2100,Empty,Empty,Empty
INF13PC00300,1448,Empty,Empty,Empty
W912DR09C0053,2100,Empty,Empty,Empty
HQ003409L3014,97F5,Empty,Empty,Empty
F0336CC10494,3300,Empty,Empty,Empty
GS04P07RAC0127,4740,Empty,Empty,Empty
GS08P12JBP0063,4740,Empty,Empty,Empty
W50S7J20C0002,2100,Empty,Empty,Empty
VA255C0812,3600,Empty,Empty,Empty
36C25020C0195,3600,Empty,Empty,Empty
FA302924C0005,5700,Empty,Empty,Empty
W912QR24C0004,2100,Empty,Empty,Empty
W9126G19C0162,2100,Empty,Empty,Empty
47PB0618C0006,4740,Empty,Empty,Empty
FA441705C0007,5700,Empty,Empty,Empty
AG5114C060004,12H2,Empty,Empty,Empty
W9124709C0038,2100,Empty,Empty,Empty
FA480107C0012,5700,Empty,Empty,Empty
W90YVD10C7013,2100,Empty,Empty,Empty
GS03P06QPM0028,4740,Empty,Empty,Empty
N6247309C3433,1700,Empty,Empty,Empty
W9124N10C0025,2100,Empty,Empty,Empty
N6945017C5631,1700,Empty,Empty,Empty
W912DR18C0062,2100,Empty,Empty,Empty
697DCK22C00211,6920,Empty,Empty,Empty
GS02P16PEC7002,4740,Empty,Empty,Empty
W9128F20C0038,2100,Empty,Empty,Empty
W917BK07C0032,2100,Empty,Empty,Empty
47PE0219C0049,4740,Empty,Empty,Empty
FA481922C0040,5700,Empty,Empty,Empty
GS11P09YAC0023,4740,Empty,Empty,Empty
FA488704C0045,5700,Empty,Empty,Empty
W912CF07C0010,2100,Empty,Empty,Empty
VA246RA0552,3600,Empty,Empty,Empty
N6247313C4212,1700,Empty,Empty,Empty
N6927203C0029,1700,Empty,Empty,Empty
N6247311C2019,1700,Empty,Empty,Empty
W91B4M09C7314,2100,Empty,Empty,Empty
FA252111C0044,5700,Empty,Empty,Empty
VA24414C0378,3600,Empty,Empty,Empty
W50S7S22C0002,2100,Empty,Empty,Empty
FA461019CA007,5700,Empty,Empty,Empty
36C25922C0045,3600,Empty,Empty,Empty
V666C341,3600,Empty,Empty,Empty
DJFJFBI09006,1549,Empty,Empty,Empty
W9126G12C0014,2100,Empty,Empty,Empty
V692C464,3600,Empty,Empty,Empty
N6246705C3740,1700,Empty,Empty,Empty
W5J9JE15C0030,2100,Empty,Empty,Empty
SP470220C0012,97AS,Empty,Empty,Empty
N4008518C3018,1700,Empty,Empty,Empty
N6247099C9123,1700,Empty,Empty,Empty
FA670318C0010,5700,Empty,Empty,Empty
W50S7524C0005,2100,Empty,Empty,Empty
FA480304C9017,5700,Empty,Empty,Empty
140P2019C0041,1443,Empty,Empty,Empty
47PM0220C0007,4740,Empty,Empty,Empty
FA667512C0013,5700,Empty,Empty,Empty
47PD0622C0007,4740,Empty,Empty,Empty
W912PP19C0020,2100,Empty,Empty,Empty
W912PP10C0036,2100,Empty,Empty,Empty
W912PL16C0022,2100,Empty,Empty,Empty
SP470213C1028,97AS,Empty,Empty,Empty
W50S6U24C0001,2100,Empty,Empty,Empty
GS11P07YTC0458,4740,Empty,Empty,Empty
47PM1018C0054,4740,Empty,Empty,Empty
AG4431C080002,12H2,Empty,Empty,Empty
V600C0555,3600,Empty,Empty,Empty
FA521521C0004,5700,Empty,Empty,Empty
47PB0418C0011,4740,Empty,Empty,Empty
GS11P07YEC0133,4740,Empty,Empty,Empty
0069D200305DV69DC5488A,3600,Empty,Empty,Empty
V664C05518A,3600,Empty,Empty,Empty
FA251718C5001,5700,Empty,Empty,Empty
NNS10AA37C,8000,Empty,Empty,Empty
FA570319C0052,5700,Empty,Empty,Empty
DACA2703C0008,2100,Empty,Empty,Empty
F1660203C0021,5700,Empty,Empty,Empty
V528A6C542,3600,Empty,Empty,Empty
GS04P16EXC7062,4740,Empty,Empty,Empty
W912GB05C0020,2100,Empty,Empty,Empty
VA255C0297,3600,Empty,Empty,Empty
V67390FP064,3600,Empty,Empty,Empty
F0436CW10145,3300,Empty,Empty,Empty
VA248C1113,3600,Empty,Empty,Empty
W912DQ13C4004,2100,Empty,Empty,Empty
VA26214C0117,3600,Empty,Empty,Empty
W9124A18C0010,2100,Empty,Empty,Empty
VA26312C0140,3600,Empty,Empty,Empty
47PK1719C0009,4740,Empty,Empty,Empty
VA256C0044,3600,Empty,Empty,Empty
89243319CFE000031,8900,Empty,Empty,Empty
GS09P12KLC0002,4740,Empty,Empty,Empty
VA25715C0060,3600,Empty,Empty,Empty
EPC07063,6800,Empty,Empty,Empty
VA25014C0095,3600,Empty,Empty,Empty
W9126G10C0057,2100,Empty,Empty,Empty
GS11P10MKC0072,4740,Empty,Empty,Empty
F0561103C0056,5700,Empty,Empty,Empty
GS11P03YEC0250,4740,Empty,Empty,Empty
W911S819C0012,2100,Empty,Empty,Empty
GS11P15YTP0177,4740,Empty,Empty,Empty
28321317C00060010,2800,Empty,Empty,Empty
VA528C0415,3600,Empty,Empty,Empty
GS09P06KLC3007,4740,Empty,Empty,Empty
