,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
0,GS11P17NWC0047,4740,,,
1,W91B4K09C5077,2100,Empty,Empty,Empty
2,GS11P09NWC0016,4740,0,$0,0%
3,N6945018C7211,1700,Empty,Empty,Empty
4,FA480015C0012,5700,Empty,Empty,Empty
5,FA452814C3001,5700,Empty,Empty,Empty
6,N6945011C6346,1700,Empty,Empty,Empty
7,AG95CVC080011,12H2,0,$0,0%
8,AG92X95082X940181,12C2,0,$0,0%
9,140R1022C0006,1425,,,
10,47PE0724C0007,4740,,,
11,W50S7Z22C0016,2100,,,
12,GS03P16QKC7053,4740,,,
13,N0042123C0046,1700,Empty,Empty,Empty
14,GS03P16QAC7029,4740,Empty,Empty,Empty
15,W9126G12C0064,2100,0,$0,0%
16,W5J9JE10C0026,2100,0,$0,0%
17,GS05P16SVC7026,4740,Empty,Empty,Empty
18,W50S9120C0003,2100,0,$0,0%
19,36C25523C0103,3600,0,$0,0%
20,W91QV115C0132,2100,0,$0,0%
21,W912KC04C0018,2100,0,$0,0%
22,W912QR05C0024,2100,0,$0,0%
23,SPK33011C5544M001,1900,Empty,Empty,Empty
24,W9128F15C0042,2100,0,$0,0%
25,3615200309D50361530300,12H2,0,$0,0%
26,47PA0318C0018,4740,0,$0,0%
27,47PG0422C0006,4740,,,
28,5680200308D50568030484,12C2,0,$0,0%
29,W912BU09C0057,2100,0,$0,0%
30,INPC2011100614,1443,Empty,Empty,Empty
31,GS10P05XFC0022,4740,0,$0,0%
32,V244C00130,3600,0,$0,0%
33,GS09P09WMC0017,4740,Empty,Empty,Empty
34,GS03P10QKC0022,4740,Empty,Empty,Empty
35,INP11PC60632,1443,0,$0,0%
36,W912NR15C0002,2100,0,$0,0%
37,W912LA18C8001,2100,3,"$548,668",306.9%
38,GS04P05RAC0014,4740,0,$0,0%
39,W911YP08C0007,2100,0,$0,0%
40,W917PM07C0087,2100,Empty,Empty,Empty
41,SAF20010C2247,1900,0,$0,0%
42,VA259C0831,3600,0,$0,0%
43,VA24514C0102,3600,0,$0,0%
44,W9126G15C0251,2100,0,$0,0%
45,GS06P11TNC0011,4740,0,$0,0%
46,19AQMM21C0101,1900,0,$0,0%
47,12FPC322C0002,12D0,,,
48,75H70122C00013,7527,0,$0,0%
49,VA261C0447,3600,0,$0,0%
50,W9126G09C0066,2100,,,
51,FA486124C0028,5700,Empty,Empty,Empty
52,INLNDC070039,1422,0,$0,0%
53,GS09P14WFC0032,4740,Empty,Empty,Empty
54,47PD0218C0021,4740,,,
55,AG32KWC150031,12K3,0,$0,0%
56,F11CC10487,3300,,,
57,N6274214C1312,1700,Empty,Empty,Empty
58,2031ZA22C00473,2041,Empty,Empty,Empty
59,W91B4P12C0050,2100,Empty,Empty,Empty
60,INF13PC00300,1448,Empty,Empty,Empty
61,W912DR09C0053,2100,Empty,Empty,Empty
62,HQ003409L3014,97F5,Empty,Empty,Empty
63,F0336CC10494,3300,Empty,Empty,Empty
64,GS04P07RAC0127,4740,Empty,Empty,Empty
65,GS08P12JBP0063,4740,Empty,Empty,Empty
66,W50S7J20C0002,2100,Empty,Empty,Empty
67,VA255C0812,3600,Empty,Empty,Empty
68,36C25020C0195,3600,Empty,Empty,Empty
69,FA302924C0005,5700,Empty,Empty,Empty
70,W912QR24C0004,2100,Empty,Empty,Empty
71,W9126G19C0162,2100,Empty,Empty,Empty
72,47PB0618C0006,4740,Empty,Empty,Empty
73,FA441705C0007,5700,Empty,Empty,Empty
74,AG5114C060004,12H2,Empty,Empty,Empty
75,W9124709C0038,2100,Empty,Empty,Empty
76,FA480107C0012,5700,Empty,Empty,Empty
77,W90YVD10C7013,2100,Empty,Empty,Empty
78,GS03P06QPM0028,4740,Empty,Empty,Empty
79,N6247309C3433,1700,Empty,Empty,Empty
80,W9124N10C0025,2100,Empty,Empty,Empty
81,N6945017C5631,1700,Empty,Empty,Empty
82,W912DR18C0062,2100,Empty,Empty,Empty
83,697DCK22C00211,6920,Empty,Empty,Empty
84,GS02P16PEC7002,4740,Empty,Empty,Empty
85,W9128F20C0038,2100,Empty,Empty,Empty
86,W917BK07C0032,2100,Empty,Empty,Empty
87,47PE0219C0049,4740,Empty,Empty,Empty
88,FA481922C0040,5700,Empty,Empty,Empty
89,GS11P09YAC0023,4740,Empty,Empty,Empty
90,FA488704C0045,5700,Empty,Empty,Empty
91,W912CF07C0010,2100,Empty,Empty,Empty
92,VA246RA0552,3600,Empty,Empty,Empty
93,N6247313C4212,1700,Empty,Empty,Empty
94,N6927203C0029,1700,Empty,Empty,Empty
95,N6247311C2019,1700,Empty,Empty,Empty
96,W91B4M09C7314,2100,Empty,Empty,Empty
97,FA252111C0044,5700,Empty,Empty,Empty
98,VA24414C0378,3600,Empty,Empty,Empty
99,W50S7S22C0002,2100,Empty,Empty,Empty
100,FA461019CA007,5700,Empty,Empty,Empty
101,36C25922C0045,3600,Empty,Empty,Empty
102,V666C341,3600,Empty,Empty,Empty
103,DJFJFBI09006,1549,Empty,Empty,Empty
104,W9126G12C0014,2100,Empty,Empty,Empty
105,V692C464,3600,Empty,Empty,Empty
106,N6246705C3740,1700,Empty,Empty,Empty
107,W5J9JE15C0030,2100,Empty,Empty,Empty
108,SP470220C0012,97AS,Empty,Empty,Empty
109,N4008518C3018,1700,Empty,Empty,Empty
110,N6247099C9123,1700,Empty,Empty,Empty
111,FA670318C0010,5700,Empty,Empty,Empty
112,W50S7524C0005,2100,Empty,Empty,Empty
113,FA480304C9017,5700,Empty,Empty,Empty
114,140P2019C0041,1443,Empty,Empty,Empty
115,47PM0220C0007,4740,Empty,Empty,Empty
116,FA667512C0013,5700,Empty,Empty,Empty
117,47PD0622C0007,4740,Empty,Empty,Empty
118,W912PP19C0020,2100,Empty,Empty,Empty
119,W912PP10C0036,2100,Empty,Empty,Empty
120,W912PL16C0022,2100,Empty,Empty,Empty
121,SP470213C1028,97AS,Empty,Empty,Empty
122,W50S6U24C0001,2100,Empty,Empty,Empty
123,GS11P07YTC0458,4740,Empty,Empty,Empty
124,47PM1018C0054,4740,Empty,Empty,Empty
125,AG4431C080002,12H2,Empty,Empty,Empty
126,V600C0555,3600,Empty,Empty,Empty
127,FA521521C0004,5700,Empty,Empty,Empty
128,47PB0418C0011,4740,Empty,Empty,Empty
129,GS11P07YEC0133,4740,Empty,Empty,Empty
130,0069D200305DV69DC5488A,3600,Empty,Empty,Empty
131,V664C05518A,3600,Empty,Empty,Empty
132,FA251718C5001,5700,Empty,Empty,Empty
133,NNS10AA37C,8000,Empty,Empty,Empty
134,FA570319C0052,5700,Empty,Empty,Empty
135,DACA2703C0008,2100,Empty,Empty,Empty
136,F1660203C0021,5700,Empty,Empty,Empty
137,V528A6C542,3600,Empty,Empty,Empty
138,GS04P16EXC7062,4740,Empty,Empty,Empty
139,W912GB05C0020,2100,Empty,Empty,Empty
140,VA255C0297,3600,Empty,Empty,Empty
141,V67390FP064,3600,Empty,Empty,Empty
142,F0436CW10145,3300,Empty,Empty,Empty
143,VA248C1113,3600,Empty,Empty,Empty
144,W912DQ13C4004,2100,Empty,Empty,Empty
145,VA26214C0117,3600,Empty,Empty,Empty
146,W9124A18C0010,2100,Empty,Empty,Empty
147,VA26312C0140,3600,Empty,Empty,Empty
148,47PK1719C0009,4740,Empty,Empty,Empty
149,VA256C0044,3600,Empty,Empty,Empty
150,89243319CFE000031,8900,Empty,Empty,Empty
151,GS09P12KLC0002,4740,Empty,Empty,Empty
152,VA25715C0060,3600,Empty,Empty,Empty
153,EPC07063,6800,Empty,Empty,Empty
154,VA25014C0095,3600,Empty,Empty,Empty
155,W9126G10C0057,2100,Empty,Empty,Empty
156,GS11P10MKC0072,4740,Empty,Empty,Empty
157,F0561103C0056,5700,Empty,Empty,Empty
158,GS11P03YEC0250,4740,Empty,Empty,Empty
159,W911S819C0012,2100,,,
160,GS11P15YTP0177,4740,0,$0,0%
161,28321317C00060010,2800,,,
162,VA528C0415,3600,0,$0,0%
163,GS09P06KLC3007,4740,0,$0,0%
164,VA259C0835,3600,Empty,Empty,Empty
165,VA24813C0273,3600,0,$0,0%
166,N4008012C1011,1700,Empty,Empty,Empty
167,697DCK22C00088,6920,,,
168,AG569RC110042,12C2,0,$0,0%
169,W912JM05C0021,2100,Empty,Empty,Empty
170,FA282319CA072,5700,Empty,Empty,Empty
171,N4425518C7003,1700,Empty,Empty,Empty
172,47PM0220C0010,4740,,,
173,W22G1F05C0007,2100,0,$0,0%
174,FA667018C0009,5700,Empty,Empty,Empty
175,DACA6303C0015,2100,0,$0,0%
176,W9123815C0020,2100,,,
177,VA247C0762,3600,0,$0,0%
178,W91B4N11C8034,2100,0,$0,0%
179,N6945014C2760,1700,Empty,Empty,Empty
180,N4425515C7029,1700,Empty,Empty,Empty
181,W912PL19C0037,2100,,,
182,W912PL23C0028,2100,,,
183,W90WL512C0010,2100,0,$0,0%
184,70Z0G124CABCD0002,7008,0,$0,0%
185,FA570615C0029,5700,Empty,Empty,Empty
186,GS06P10TNC0048,4740,0,$0,0%
187,VA258C0404,3600,Empty,Empty,Empty
188,VA25615C0121,3600,0,$0,0%
189,GS11P07YTC0259,4740,0,$0,0%
190,W912DR24C0034,2100,0,$0,0%
191,N6945014C6080,1700,Empty,Empty,Empty
192,AG95CV5095CV50200,12H2,0,$0,0%
193,N3319111C1723,1700,Empty,Empty,Empty
194,36C24218C0049,3600,0,$0,0%
195,FA283515C0016,5700,Empty,Empty,Empty
196,75N99018C00013,7529,,,
197,2032H323C00017,2001,,,
198,N6945012C1262,1700,Empty,Empty,Empty
199,W912QR04C0013,2100,0,$0,0%
200,W5K9FH12C0184,2100,Empty,Empty,Empty
201,VA25613C0167,3600,0,$0,0%
202,W912DS23C0037,2100,,,
203,75N99024C00075,7529,,,
204,VA261C0019,3600,0,$0,0%
205,DOCSB134110CN0059,1341,0,$0,0%
206,W5K9FH12C0036,2100,0,$0,0%
207,GS09P16WBC7030,4740,Empty,Empty,Empty
208,GS08P04JBM0096,4740,0,$0,0%
209,N6247309C1840,1700,Empty,Empty,Empty
210,W917PM08C0058,2100,Empty,Empty,Empty
211,19AQMM22C0127,1900,Empty,Empty,Empty
212,GS11P14YEC0064,4740,,,
213,W912HN05C0064,2100,Empty,Empty,Empty
214,W912QR09C0002,2100,Empty,Empty,Empty
215,VA25617C0077,3600,0,$0,0%
216,47PF0021C0029,4740,,,
217,N4008009C4461,1700,Empty,Empty,Empty
218,W9136417C0002,2100,0,$0,0%
219,47PM1018C0035,4740,,,
220,W9136409C0008,2100,0,$0,0%
221,697DCK18C00336,6920,,,
222,VA539C0022,3600,0,$0,0%
223,INR08CC408246,1425,0,$0,0%
224,36C25820C0030,3600,0,$0,0%
225,W917BG06C0130,2100,,,
226,W912EK20C0057,2100,0,$0,0%
227,GS10P05LTC0018,4740,,,
228,W5K9FH11C0109,2100,Empty,Empty,Empty
229,36C25020C0156,3600,Empty,Empty,Empty
230,JB000200305DGS08P03JBD0070,4740,Empty,Empty,Empty
231,N6247002C2032,1700,Empty,Empty,Empty
232,GS05P05SIC0117,4740,Empty,Empty,Empty
233,36C25819C0081,3600,Empty,Empty,Empty
234,VA259C0365,3600,Empty,Empty,Empty
235,GS11P06YEC0222,4740,Empty,Empty,Empty
236,W5J9JE11C0100,2100,Empty,Empty,Empty
