Contract ID,Action Obligation ($),Date Signed,Contracting Agency ID,PSC,NAICS,Region,Business Entity ID
0036CC10252,1184112,2000-03-07,3300,Z191,236220,West,KPM2V2K76SB8
V0010F200006DV101BC0180,0,2000-06-15,3600,Y219,236220,Southeast,EN73L9MPC129
0036CC10543,1003227,2000-09-05,3300,Z191,236220,Southeast,H2XFGR46UMA1
V623C723,57920,2000-09-07,3600,Y141,236220,Southwest,J9B5J1JFPEK3
INICMH00010011,195500,2001-03-19,1450,Z166,236220,Southwest,GM9SKMQCH5N5
AZ000200104DGS03P01AZC0075,300000,2001-04-15,4740,Z111,236220,Southeast,LMLJD42M2VC3
GS11P01MAC0060,555585,2001-04-15,4740,Z111,236220,Southeast,GHJLKSRY6KG7
F0136CW10342,583642,2001-05-31,3300,Z191,236220,Southeast,P6J7KHNKP3N5
00247200106D247010040,379000,2001-06-25,7520,Y161,236220,Southwest,NUE7CU2KJ5B7
GS01P01BZC0010,752000,2001-06-15,4740,Z111,236220,Northeast,UXJMHVN7XE35
GY000200106DGS06P01GYC0005,440000,2001-06-15,4740,Z111,236220,Northeast,HE7KKMMCLDW1
F0136CC10397,56700000,2001-07-10,3300,AD61,236220,Southeast,HB9QHAYMLLF6
PV000200108DGS02P01PVC0021,1242000,2001-08-15,4740,Z111,236220,Northeast,EXRCVNNUNCF4
0136CC10537,4917827,2001-09-24,3300,Z191,236220,Southeast,C8XFN17EGCG3
0136CW10501,50030,2001-09-06,3300,Z191,236220,Southeast,KPTSADQQDTR6
LERC0200109DNAS301206,14000,2001-09-15,8000,Z182,236220,Midwest,EYBTNZFE41B8
MSFC0200110DNAS801182,747600,2001-10-15,8000,Z119,236220,Southeast,T5J9U9BDFV33
0236CC10150,4352000,2001-12-28,3300,Z199,236220,Southeast,F9NMEB3RXR45
0236CW10114,1593123,2001-12-12,3300,Z199,236220,Southeast,H2XFGR46UMA1
DAHA1202C0013,6653000,2001-12-03,2100,Y129,236220,Midwest,C3QAJLG8MLN5
MSFC0200112DNAS802025,1201000,2001-12-15,8000,Z119,236220,Southeast,G77QL7JGAZW9
0236CC10165,4512076,2002-01-08,3300,Z199,236220,Southeast,C8XFN17EGCG3
GS02P02PLC0021,3702869,2002-01-07,4740,Z111,236220,Southeast,NU22DRBJUB56
DACA8502C0004,62096000,2002-02-22,2100,Y141,236220,West,VZULGLS13E18
PL000200202DGS02P01PLC0091,1535317,2002-02-15,4740,S214,236220,Northeast,C1SEHY79DFK9
LARC0200203DNAS102082,1397000,2002-03-15,8000,Z139,236220,Southeast,EGBEP2ELA4R1
LARC0200203DNAS102083,2112000,2002-03-15,8000,Z182,236220,Southeast,DLG5WD1GAJ34
WL000200203DGS09P03WLC0019,6908,2002-03-15,4740,Z111,236220,West,JH18CJJMKMZ8
0236CC10386,250000,2002-05-01,3300,Z292,236220,Southeast,CGKFJETKMVD7
GY000200205DGS06P02GYD0044,1,2002-05-15,4740,Z111,236220,Midwest,FKMLLDKKED82
20000200206DC8000020904,5416000,2002-06-15,1443,Y199,236220,West,NVQKJLLAA863
GY000200206DGS06P02GYD0042,1,2002-06-15,4740,Z111,236220,Midwest,V78GCM6LJAC7
0236CW10456,227966,2002-07-16,3300,Z191,236220,Southeast,JP6GFPG2EFS4
14900200207DC149002D536,33000,2002-07-15,1443,Z119,236220,West,JEFABJ6KJY73
EX000200207DGS04P01EXC0044,120359000,2002-07-15,4740,Y111,236220,Northeast,LKHSVNLBGFX5
KS700200207DSKS70002C0829,48000,2002-07-15,1900,Y199,236220,Southeast,F38PH2VH6144
0236CC10566,5313800,2002-09-01,3300,Y199,236220,West,UJJEWMDG4LZ5
ALMEC200208DSALMEC02C0023,3,2002-08-15,1900,Y111,236220,Southeast,R4SCLCPNC9G9
F0236CW10375,24428,2002-08-15,3300,Z191,236220,Southeast,JP6GFPG2EFS4
GY000200208DGS06P03GYC0006,109801,2002-08-15,4740,Z111,236220,Midwest,KC3NY1XDFUK9
UD000200208DGS07P02UDC0007,4850744,2002-08-15,4740,Y111,236220,Southwest,V6HKCK56TE45
0236CC10573,1866433,2002-09-30,3300,Z199,236220,Southeast,JP6GFPG2EFS4
AG3K15503K1523500,2261246,2002-10-01,12H2,Y119,236220,Southeast,SHG5YDSACYF1
ALMEC200209DSALMEC02C0019,46053000,2002-09-15,1900,Y111,236220,Southeast,SRD8XK49KFY3
AZ000200209DGS03P02AZC0075,304917,2002-09-15,4740,Z111,236220,West,R9JCCCG5ETB6
DACA6102C0004,6634200,2002-10-01,2100,Y169,236220,Southeast,WLP5PYSE1FD6
DEAC0402AL68149,56272,2002-09-05,8900,Y111,236220,Southwest,CJBWK9JSXED6
GB000200209DGS05P01GBC0036,186000,2002-09-15,4740,Z111,236220,Midwest,F3PQM5C4ATN8
GS04P01CXC0007,0,2002-10-01,4740,Z111,236220,Southeast,VYBHWWZM87B3
GS11P02MKC0041,55751000,2002-09-27,4740,Z111,236220,Southeast,JAEAYDNDG721
HHSN29220020330C,637177,2002-09-19,7529,AD61,236220,Southeast,LZYUDX42KJN9
N6246702C2925,407998,2002-10-01,1700,Z199,236220,Southeast,C16GLRZ3QJW8
N6246794C0710,0,2002-10-01,1700,Y139,236220,Southwest,LYT1J2VFCWF6
N6247002C5344,179000,2002-10-01,1700,Z119,236220,Southeast,L9N3N6DXLP25
N6247799C1060,3700719,2002-10-01,1700,Z166,236220,Southeast,F58ABW7WBAV7
SALMEC02C0019,46067307,2002-09-24,1900,Y111,236220,Southeast,XNXMDDX3LV67
SALMEC02C0025,1025000,2002-09-16,1900,Y111,236220,Northeast,KLRMTM8CE4V9
SALMEC02C0042,114998879,2002-09-30,1900,Y111,236220,Southwest,HAB2Q9GTNWC3
SGM50002C1157,0,2002-09-05,1900,Y111,236220,Southeast,LN9PU5M2YZN5
00262200210DV691C397,572600,2002-10-15,3600,Z141,236220,West,HMJQBGCBR321
00262200210DV691C399,169000,2002-10-15,3600,Z141,236220,West,JBH2HD9FLWE8
3142200106D5031421018,0,2002-10-15,12B0,Z111,236220,Southeast,TMF5L9J8YSQ3
3K15200210D503K1520600,0,2002-10-15,12H2,Y119,236220,West,F4QUM8NF2JT8
3K15200210D503K1530400,73129,2002-10-15,12H2,Y119,236220,Midwest,FHUPMQMATC15
82X9200210D5082X92J009,3337000,2002-10-15,12C2,Y169,236220,Southeast,GZSLLYJHZE16
91T5200210D5091T531A101,420093,2002-10-15,12C2,Y199,236220,West,VHBWY3U8CXD8
AZ000200210DGS03P03AZC0041,360000,2002-10-15,4740,Z111,236220,Northeast,J6LMM3PSQRB3
BW000200210DGS01P02BZD0045,1,2002-10-15,4740,Z111,236220,Northeast,C67UPTC45VU7
BW000200210DGS01P02BZD0048,1,2002-10-15,4740,Z111,236220,Northeast,HMGZQFBHQ9C9
BW000200210DGS01P02BZD0051,1,2002-10-15,4740,Z111,236220,Northeast,RB4UKMXYJGR9
CD000200210DGS03P03CDC0068,353363,2002-10-15,4740,Z111,236220,Southeast,L389HZJ85LD5
F4168903C0001,4871000,2002-10-09,5700,Z119,236220,Midwest,MN15HNNCAM17
GE500200210DSGM50003C1002,164000,2002-10-15,1900,Y119,236220,West,R4NFJ1ZBNZK1
