,Unnamed: 0.1,Unnamed: 0,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
0,0,0,TOS11F040,2001,,,
1,1,1,GS06P15TEC7017,4740,1,"$27,818",78.0%
2,2,2,FA282319CA052,5700,Empty,Empty,Empty
3,3,3,W9124M07C0021,2100,0,$0,0%
4,4,4,GS04P08EXC0009,4740,0,$0,0%
5,5,5,GS11P07YTC0192,4740,0,$0,0%
6,6,6,AG02RCC160009,12C2,,,
7,7,7,12805B24C0016,12H2,,,
8,8,8,INP15PC00274,1443,0,$0,0%
9,9,9,SWHARC08C0003,1900,0,$0,0%
10,10,10,W912QR12C0047,2100,0,$0,0%
11,11,11,75N99023C00057,7529,,,
12,12,12,W912PL24C0033,2100,0,$0,0%
13,13,13,W911S711C0048,2100,0,$0,0%
14,14,14,VA250RA0572,3600,0,$0,0%
15,15,15,VA25912C0314,3600,0,$0,0%
16,16,16,VA528C0898,3600,0,$0,0%
17,17,17,W912BU09C0066,2100,0,$0,0%
18,18,18,W911YN05C0007,2100,0,$0,0%
19,19,19,VA101183B4C0008,3600,,,
20,20,20,SET10008C1473,1900,0,$0,0%
21,21,21,W911YP07C0008,2100,0,$0,0%
22,22,22,W5J9JE12C0149,2100,0,$0,0%
23,23,23,GS09P16WDC7012,4740,0,$0,0%
24,24,24,GS09P09KTC0067,4740,0,$0,0%
25,25,25,GS08P04JFC0014,4740,,,
26,26,26,N6945016C4456,1700,Empty,Empty,Empty
27,27,27,ING17PC00059,1434,,,
28,28,28,VA24715C0028,3600,0,$0,0%
29,29,29,W5J9LE12C0033,2100,0,$0,0%
30,30,30,N4008006C3012,1700,Empty,Empty,Empty
31,31,31,GS08P07VPC0026,4740,0,$0,0%
32,32,32,DABR0103C2007,2100,0,$0,0%
33,33,33,HSCG8208C3WCA18,7008,,,
34,34,34,VA24414C0287,3600,0,$0,0%
35,35,35,47PD0318C0003,4740,,,
36,36,36,W912KN18C5001,2100,,,
37,37,37,36C25919C0253,3600,0,$0,0%
38,38,38,FA875119CA089,5700,Empty,Empty,Empty
39,39,39,VA69D14C0279,3600,0,$0,0%
40,40,40,FA700013C0037,5700,Empty,Empty,Empty
41,41,41,HQ003414C0067,97F5,Empty,Empty,Empty
42,42,42,GS11P16YXC7025,4740,0,$0,0%
43,43,43,W912WJ18C0033,2100,,,
44,44,44,47PD0223C0016,4740,,,
45,45,45,FA706024C0011,5700,Empty,Empty,Empty
46,46,46,AG32SCC160065,12H2,,,
47,47,47,DJBX00026,1540,0,$0,0%
48,48,48,GS03P14DXC0003,4740,0,$0,0%
49,49,49,DABM0303C4042,2100,0,$0,0%
50,50,50,INF201817C004,1448,0,$0,0%
51,51,51,F07CC10496,3300,0,$0,0%
52,52,52,INP17PC00552,1443,,,
53,53,53,W912PP10C0014,2100,,,
54,54,54,W9126G11C0005,2100,0,$0,0%
55,55,55,GS02P13PQC0006,4740,0,$0,0%
56,56,56,00255200309DV255C657A50220,3600,0,$0,0%
57,57,57,VA24912C0227,3600,,,
58,58,58,INA13PC00138,1450,0,$0,0%
59,59,59,W9124E14C0018,2100,0,$0,0%
60,60,60,W9128A16C0017,2100,,,
61,61,61,36C24418C0033,3600,0,$0,0%
62,62,62,GS04P07RAC0103,4740,0,$0,0%
63,63,63,FA486106CA014,5700,Empty,Empty,Empty
64,64,64,47PG0218C0008,4740,,,
65,65,65,W9124B20C0008,2100,0,$0,0%
66,66,66,00243200308DV10N3C2458A,3600,0,$0,0%
67,67,67,FA281617C0024,5700,Empty,Empty,Empty
68,68,68,47PF0020C0044,4740,,,
69,69,69,N6945022C0023,1700,Empty,Empty,Empty
70,70,70,W91QV110C0066,2100,,,
71,71,71,FA481922C0041,5700,Empty,Empty,Empty
72,72,72,ZG000200307DGS11P03ZGC0254,4740,0,$0,0%
73,73,73,W912DQ24C4024,2100,0,$0,0%
74,74,74,N6247311C4212,1700,Empty,Empty,Empty
75,75,75,19AQMM20C0227,1900,0,$0,0%
76,76,76,VA249C0153,3600,0,$0,0%
77,77,77,W9124724C0040,2100,0,$0,0%
78,78,78,GS11P09NWC0107,4740,0,$0,0%
79,79,79,JFKCJFK05P00106,3352,0,$0,0%
80,80,80,FA487722C0026,5700,Empty,Empty,Empty
81,81,81,VA24313C0031,3600,Empty,Empty,Empty
82,82,82,VA25617C0040,3600,0,$0,0%
83,83,83,AE129880320,1630,Empty,Empty,Empty
84,84,84,V636C1073,3600,Empty,Empty,Empty
85,85,85,VA244C1012,3600,0,$0,0%
86,86,86,75H70124C00013,7527,Empty,Empty,Empty
87,87,87,GS06P02GYC0054,4740,,,
88,88,88,W912HN04C0028,2100,0,$0,0%
89,89,89,W912DS07C0031,2100,0,$0,0%
90,90,90,VA246C0512,3600,0,$0,0%
91,91,91,FA860119CA045,5700,Empty,Empty,Empty
92,92,92,47PK1223C0008,4740,,,
93,93,93,W91B4M10C4005,2100,0,$0,0%
94,94,94,N6945010C6829,1700,Empty,Empty,Empty
95,95,95,W564KV17C0001,2100,,,
96,96,96,33330222CF0010417,3300,0,$0,0%
97,97,97,FA485508C0039,5700,Empty,Empty,Empty
98,98,98,FA480010C0021,5700,Empty,Empty,Empty
99,99,99,GS09P16NPC7027,4740,,,
100,100,100,W912DQ10C4019,2100,0,$0,0%
101,101,101,36C24918C0203,3600,0,$0,0%
102,102,102,W15QKN14C1049,2100,0,$0,0%
103,103,103,GS06P16GZC7002,4740,0,$0,0%
104,104,104,AE117930120,1630,Empty,Empty,Empty
105,105,105,N4008509C7047,1700,Empty,Empty,Empty
106,106,106,AG435H50435H406,12C2,0,$0,0%
107,107,107,N6247311C0406,1700,Empty,Empty,Empty
108,108,108,DENA0003152,8900,0,$0,0%
109,109,109,47PK0617C0002,4740,,,
110,110,110,47PH0623C0003,4740,,,
111,111,111,GS11P13NWC0096,4740,,,
112,112,112,W9123822C0022,2100,,,
113,113,113,140F0518C0038,1448,,,
114,114,114,FA704607C0003,5700,Empty,Empty,Empty
115,115,115,N6945013C4117,1700,Empty,Empty,Empty
116,116,116,GS09P08KLC0014,4740,0,$0,0%
117,117,117,47PK0923C0019,4740,,,
118,118,118,36C25723C0033,3600,0,$0,0%
119,119,119,12447U18C0011,12C2,,,
120,120,120,19AQMM19C0037,1900,,,
121,121,121,V568P470A,3600,0,$0,0%
122,122,122,VA258C0014,3600,0,$0,0%
123,123,123,W9123809C0012,2100,0,$0,0%
124,124,124,GS04P14EXC0045,4740,0,$0,0%
125,125,125,DACA6503C0075,2100,0,$0,0%
126,126,126,VA255C0232,3600,0,$0,0%
127,127,127,1284N818C0025,12C2,,,
128,128,128,47PK1320C0007,4740,,,
129,129,129,36C26118C0089,3600,Empty,Empty,Empty
130,130,130,NNJ09JA22C,8000,0,$0,0%
131,131,131,W9124N10C0040,2100,0,$0,0%
132,132,132,VA248C0851,3600,0,$0,0%
133,133,133,W91B4M09C4202,2100,0,$0,0%
134,134,134,VA255C0534,3600,0,$0,0%
135,135,135,W912DW17C0026,2100,,,
136,136,136,W9124B18C0003,2100,0,$0,0%
137,137,137,GS09P08WKC0026,4740,0,$0,0%
138,138,138,82HW200308D5082HW030600,12H2,0,$0,0%
139,139,139,W912DR10C0078,2100,0,$0,0%
140,140,140,W5K9FH11C0170,2100,0,$0,0%
141,141,141,FA460806C0031,5700,Empty,Empty,Empty
142,142,142,FA481916C0004,5700,Empty,Empty,Empty
143,143,143,INP14PC00534,1443,0,$0,0%
144,144,144,N6247308C7711,1700,Empty,Empty,Empty
145,145,145,W50S8T20C0002,2100,0,$0,0%
146,146,146,W912DW10C0034,2100,0,$0,0%
147,147,147,DOLJ131A22072,1630,Empty,Empty,Empty
148,148,148,VA25115C0019,3600,0,$0,0%
149,149,149,GS01P04BZC0013,4740,0,$0,0%
