Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
GS11P14MAP0340,4740,0,$0,0%
IND0407CT66810,1406,0,$0,0%
W912LD06C0036,2100,0,$0,0%
GS11P06ZGC0339,4740,0,$0,0%
HHSD200200618928C,7523,0,$0,0%
VA25616C0188,3600,0,$0,0%
GS11P16MKC7121,4740,,,
VA69DC0517,3600,0,$0,0%
W919QA10C0051,2100,0,$0,0%
GS04P06EXC0050,4740,0,$0,0%
AG4431C100020,12H2,0,$0,0%
W5K9FH11C0238,2100,0,$0,0%
6923G220C000007,6938,,,
W912DS22C0002,2100,,,
VA25912C0310,3600,0,$0,0%
W912DY16C0034,2100,,,
00678200309DV678C7908A,3600,0,$0,0%
W912PL09C0014,2100,0,$0,0%
GS01P10BZC0004,4740,0,$0,0%
W912JM10C0032,2100,0,$0,0%
F07CC10507,3300,,,
GS11P11ZGC0239,4740,0,$0,0%
2031ZA24C00462,2041,,,
47PE0119C0007,4740,,,
VA101F16C2784,3600,0,$0,0%
47PE0221C0004,4740,,,
W912DR17C0067,2100,0,$0,0%
W912PL23C0009,2100,0,$0,0%
INPC8650060006,1443,0,$0,0%
VA250C0111,3600,0,$0,0%
VA261C0296,3600,0,$0,0%
W9124N10C0024,2100,0,$0,0%
GS04P05CXC0017,4740,0,$0,0%
W91ZRS10C0015,2100,0,$0,0%
GS09P10WLC0019,4740,0,$0,0%
VA24913C0164,3600,0,$0,0%
36C25923C0022,3600,0,$0,0%
V69DC715,3600,0,$0,0%
VA259C0154,3600,0,$0,0%
GS11P12YEC0101,4740,0,$0,0%
1305M219CNWWX0040,1330,,,
GS08P12VEC0013,4740,0,$0,0%
1282CS19C0011,12C2,,,
W912L104C0040,2100,0,$0,0%
W9127S11C6005,2100,,,
W917BK05C0023,2100,0,$0,0%
W5J9JE11C0218,2100,0,$0,0%
GS11P11MAM0257,4740,0,$0,0%
GS08P13JBP0062,4740,0,$0,0%
GS11P07ZGC0198,4740,0,$0,0%
47PF0018C0156,4740,0,$0,0%
47PJ0022C0038,4740,,,
AG32SCC120021,12H2,0,$0,0%
GS11P16YTC7001,4740,,,
W912PL07C0028,2100,0,$0,0%
HSCG8306C3WF040,7008,,,
70000200306D387110215,1540,,,
W912QR06C0046,2100,,,
GS09P07WBC0008,4740,0,$0,0%
123K2518C0002,12H2,,,
36C26223C0146,3600,0,$0,0%
140P6423C0018,1443,,,
VA247C1595,3600,,,
HHSN292201200009C,7529,,,
V688C40590,3600,0,$0,0%
47PE0617C0003,4740,,,
GS05P08SEC0016,4740,0,$0,0%
W9136404C0006,2100,,,
INPC630005M119,1443,0,$0,0%
HSCG3107N6SA744,7008,,,
DABK3303C0007,2100,,,
V255C589A10343,3600,0,$0,0%
36C25022C0256,3600,,,
W912DR08C0091,2100,0,$0,0%
TOS16F0015,2001,,,
W91JA411C7109,2100,0,$0,0%
W912QR14C0027,2100,40,$11.68 Million,162.1%
W91JA411C7057,2100,0,$0,0%
W912BU20C0021,2100,0,$0,0%
VA69DRA1353,3600,0,$0,0%
GS06P17TKC0001,4740,,,
W91B4P12C0057,2100,0,$0,0%
W9124Q10C0545,2100,,,
F13CC10079,3300,0,$0,0%
VA248C1296,3600,0,$0,0%
VA26314C0082,3600,0,$0,0%
VA26316C0093,3600,0,$0,0%
36C25619C0115,3600,,,
697DCK24C00237,6920,,,
W919QA10C0021,2100,,,
VA247C0823,3600,,,
47PD0521C0001,4740,,,
VA258C0186,3600,0,$0,0%
W912DQ09C4005,2100,0,$0,0%
47PA0322C0005,4740,,,
W91B4M09C7110,2100,0,$0,0%
W9126G22C0045,2100,,,
15BFA023C00000026,1540,,,
W912BV08C2007,2100,0,$0,0%
HSCG8208C3WCA52,7008,0,$0,0%
VA248C1259,3600,0,$0,0%
GS10P11XJP0034,4740,,,
GS09P12WNC0004,4740,0,$0,0%
VA24813C0020,3600,0,$0,0%
W9124A23C0010,2100,0,$0,0%
VA25612C0264,3600,0,$0,0%
VA24914C0053,3600,,,
70CMSW24C00000027,7012,,,
VA538C0020,3600,,,
GS11P10YEC0176,4740,,,
W9127804C0010,2100,0,$0,0%
DTFAGL09C00299,6920,,,
W912JM09C0024,2100,0,$0,0%
AG4660C060028,12C2,0,$0,0%
V552C11108A,3600,0,$0,0%
36C25923C0013,3600,0,$0,0%
GS11P13MAP0173,4740,,,
47PD0119C0022,4740,,,
W91QV111C0056,2100,0,$0,0%
70US0919C70090062,7009,,,
W9124M08C0056,2100,,,
VA24917C0207,3600,,,
75N99020C00059,7529,,,
GS11P13MAC0194,4740,,,
VA24717C0156,3600,0,$0,0%
GS11P05YEC0100,4740,0,$0,0%
W9124719C0036,2100,,,
W912JM07C0010,2100,0,$0,0%
W9126G14C0091,2100,0,$0,0%
GS09P17WNC0009,4740,,,
SAQMMA17C0325,1900,,,
W9128F08C0010,2100,0,$0,0%
36C24924C0076,3600,,,
VA528C0759,3600,,,
W50S7020C0004,2100,,,
VA247C0497,3600,0,$0,0%
V648C479,3600,,,
GS11P15YMC0145,4740,0,$0,0%
DTCGG104C3WK082,7008,0,$0,0%
GS09P09WDC0027,4740,0,$0,0%
VA69DC1954,3600,,,
VA25612C0200,3600,,,
W9124M14C0011,2100,0,$0,0%
VA25017C0148,3600,,,
GS08P06JBP3136,4740,,,
DOCSB134107CN0052,1341,0,$0,0%
GS09P07WDC0002,4740,0,$0,0%
GS04P11EXC0188,4740,0,$0,0%
VA26113C0111,3600,0,$0,0%
EPC07016,6800,0,$0,0%
GS11P16YTC7182,4740,0,$0,0%
47PK0618C0018,4740,,,
W50S6P23C0001,2100,,,
GS11P10YEC0211,4740,0,$0,0%
GS09P07WLC0011,4740,0,$0,0%
47PD0223C0012,4740,,,
W9128F10C0050,2100,0,$0,0%
GS07P11UKM0018,4740,0,$0,0%
GS11P16YTC7204,4740,,,
GS11P15YTC0274,4740,,,
W9124720C0018,2100,,,
W912JM07C0014,2100,,,
GS05P04SAC0733,4740,0,$0,0%
VA260P0660,3600,,,
47PK1518C0030,4740,,,
140P2120C0022,1443,,,
VA257C0566,3600,0,$0,0%
36C25723C0050,3600,,,
GS11P09YTC0180,4740,0,$0,0%
ZG000200308DGS11P03ZGC0246,4740,0,$0,0%
GS06P13TBC0004,4740,0,$0,0%
VA251C0294,3600,0,$0,0%
36C25819C0137,3600,0,$0,0%
W912CN10C0082,2100,0,$0,0%
GS09P10WLC0013,4740,0,$0,0%
VA256C0641,3600,0,$0,0%
70B01C23C00000130,7014,,,
VA263C1268,3600,,,
INP11PC51179,1443,0,$0,0%
W91B4N11C8026,2100,0,$0,0%
W912DY15C0074,2100,,,
36C24919C0186,3600,,,
GS04P09EXC0086,4740,0,$0,0%
47PE0521C0006,4740,,,
VA255C1161,3600,,,
W91B4L10C0135,2100,0,$0,0%
SAQMMA17C0319,1900,,,
VA25611C1346,3600,0,$0,0%
HSCG8212CPMV008,7008,0,$0,0%
W912L114C0020,2100,,,
TMHQ12C0049,2044,0,$0,0%
DACA6703C0207,2100,0,$0,0%
30211200305DJ30211C027,1540,,,
GS05P09SLC0005,4740,0,$0,0%
140L1722C0016,1422,,,
W911YN11C1007,2100,0,$0,0%
VA24312C0135,3600,,,
AG32SDC160033,12H2,,,
AG32SDC160035,12H2,,,
VA257C0062,3600,0,$0,0%
75H71322C00001,7527,0,$0,0%
W9123817C0015,2100,0,$0,0%
SALMEC04C0035,1900,,,
W912CN10C0083,2100,0,$0,0%
V649C03908A,3600,0,$0,0%
GS11P16YTC7133,4740,0,$0,0%
GS03P09QKC0021,4740,,,
W9123608C0079,2100,0,$0,0%
W912CN16C0031,2100,,,
AG02RCC100015,12C2,0,$0,0%
36C24919C0151,3600,,,
47PD0420C0003,4740,,,
W5K9FH11C0163,2100,,,
W56HZV13CL502,2100,,,
GS04P15EXC0259,4740,,,
0536CW10502,3300,,,
GS11P10YTC0182,4740,0,$0,0%
00247200307DV247C01778A,3600,0,$0,0%
140F0120C0005,1448,,,
HHSD200200513423C,7523,,,
12034320C0048,12C2,,,
70US0920C70090067,7009,,,
HSCG8817CPQQ091,7008,,,
GS01P16BWC7013,4740,,,
36C25819C0035,3600,,,
47PD0418C0019,4740,,,
47PJ0022C0011,4740,,,
140P5122C0021,1443,,,
